# system = Ar-gto
# path = examples/gwfn/Ar/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 18
# optimized step size = 0.03826
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00356     0.95    0.94805    0.00000   853.38    352.58 11245.75    229.72 113.71937     100    22.279    24.78     120.80
   0.00713     0.90    0.89462    0.00002   339.09     88.33 13893.36      2.34 196.82709      94     9.117    24.93     121.21
   0.01073     0.85    0.84907    0.00003   148.54     25.62  4793.44      7.54 118.10100      54     4.222    24.99     121.39
   0.01437     0.80    0.79122    0.00005   115.74     17.62  7250.79      9.70 124.51556      46     3.370    25.03     121.60
   0.01807     0.75    0.74279    0.00008    72.86      8.81  3989.68      4.36 135.29208      33     2.234    25.04     121.55
   0.02186     0.70    0.69741    0.00011    53.12      5.48  4275.20      3.32 133.18858      27     1.696    24.95     121.44
   0.02574     0.65    0.64880    0.00014    37.27      3.23  6114.39      2.38 139.98948      21     1.266    24.97     121.98
   0.02974     0.60    0.59483    0.00017    36.69      3.15  8835.95      1.45 123.33564      21     1.250    24.97     122.10
   0.03391     0.55    0.54946    0.00021    35.12      2.95  3931.28      2.29 126.43904      20     1.206    24.96     121.96
   0.03826     0.50    0.50512    0.00024    28.28      2.14  7500.78      4.88 137.06383      18     1.016    24.97     122.20
   0.04285     0.45    0.45561    0.00028    25.71      1.85  4025.99      2.83 127.06574      16     0.944    24.97     122.48
   0.04774     0.40    0.40423    0.00030    22.08      1.47  2248.83      2.71 138.95791      15     0.846    25.15     122.96
   0.05301     0.35    0.36327    0.00034    28.24      2.13  3625.20      2.85 122.70900      18     1.016    24.97     122.98
   0.05879     0.30    0.31844    0.00036    24.29      1.70  5485.17      1.04 124.91312      16     0.901    24.87     123.26
   0.06525     0.25    0.27410    0.00038    29.50      2.27  5549.50      2.92 145.46103      18     1.050    24.91     123.71
   0.07269     0.20    0.22473    0.00039    41.96      3.85  4603.50      4.52 137.42758      23     1.394    24.86     124.40
   0.08165     0.15    0.18132    0.00040    26.72      1.96  4568.21      3.71 148.22570      16     0.964    24.82     125.19
   0.09330     0.10    0.13707    0.00039    41.97      3.85  5418.81      3.25 111.79630      22     1.390    24.84     126.93
   0.11117     0.05    0.08483    0.00034    71.62      8.59  1850.43      2.97 119.78531      31     2.194    24.89     131.25
