# system = Ar-sto
# path = examples/stowfn/Ar/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 18
# optimized step size = 0.03836
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00357     0.95    0.94859    0.00000  1410.90    749.53 11932.61    239.76 138.13733     100    22.645    15.30      72.43
   0.00715     0.90    0.89349    0.00002   418.13    120.94 13040.32     26.13 117.79452     100     6.848    15.35      72.59
   0.01075     0.85    0.84594    0.00003   201.54     40.48  6460.22      3.20 123.04812      66     3.429    15.33      72.56
   0.01441     0.80    0.79413    0.00005   138.50     23.07 11395.58      5.60 140.14469      51     2.426    15.34      72.81
   0.01812     0.75    0.74208    0.00008    94.52     13.01  7766.89      3.72 117.27543      39     1.713    15.30      72.68
   0.02191     0.70    0.69303    0.00011    69.35      8.18  4754.82      4.73 115.25036      32     1.307    15.33      72.94
   0.02580     0.65    0.64440    0.00014    35.30      2.97  6770.58      1.87 126.64476      20     0.741    15.35      72.92
   0.02982     0.60    0.59524    0.00018    40.38      3.63  8292.55      1.09 129.80340      22     0.826    15.32      73.20
   0.03399     0.55    0.54551    0.00021    26.11      1.89  8107.07      1.38 165.65602      17     0.582    15.31      73.21
   0.03836     0.50    0.50047    0.00024    34.95      2.93  4968.22      3.27 118.50777      20     0.734    15.31      73.45
   0.04296     0.45    0.44979    0.00027    31.67      2.53  5121.50      3.18 118.15483      19     0.680    15.35      73.90
   0.04786     0.40    0.40959    0.00031    32.85      2.67  2992.26      2.86 116.15034      19     0.699    15.30      73.77
   0.05315     0.35    0.35849    0.00033    29.10      2.23  4455.68      3.71 111.91693      18     0.636    15.32      74.15
   0.05894     0.30    0.31684    0.00036    24.12      1.68  9318.67      3.50 132.33315      16     0.550    15.31      74.56
   0.06542     0.25    0.27274    0.00038    32.18      2.59  4972.92      2.52 141.48867      19     0.691    15.32      75.37
   0.07288     0.20    0.22684    0.00040    29.51      2.27  1774.39      3.37 120.50834      18     0.644    15.30      75.74
   0.08186     0.15    0.18121    0.00040    36.43      3.12  4362.71      3.87 117.60123      20     0.763    15.31      76.66
   0.09354     0.10    0.13490    0.00039    47.93      4.70  2503.44      2.67  96.93864      24     0.960    15.32      79.14
   0.11146     0.05    0.08479    0.00034    71.44      8.56  1574.29      2.93  95.27879      31     1.360    15.42      83.20
