# system = Be-gto
# path = examples/gwfn/Be/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 4
# optimized step size = 0.22510
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.02093     0.95    0.94530    0.00014   274.48     64.34 12527.77    309.57   3.86493      83     1.413     4.71      24.06
   0.04194     0.90    0.89587    0.00052    84.12     10.92  4114.31     37.76   2.87805      36     0.504     5.00      23.50
   0.06312     0.85    0.84498    0.00111    25.47      1.83  3217.19      7.71   3.59525      17     0.177     4.68      24.01
   0.08455     0.80    0.79090    0.00187    28.74      2.18  1316.34     11.32   2.80361      18     0.192     4.61      23.54
   0.10634     0.75    0.74388    0.00278    11.95      0.59  1099.30      5.08   4.07271      10     0.101     4.58      23.75
   0.12859     0.70    0.69238    0.00375    13.48      0.71   806.71     12.71   2.51887      11     0.110     4.57      23.77
   0.15144     0.65    0.64075    0.00482    10.19      0.46   880.22      9.93   3.02041       9     0.092     4.60      23.90
   0.17501     0.60    0.59401    0.00594     8.95      0.38  2265.55      5.68   2.76190       8     0.089     4.96      24.04
   0.19949     0.55    0.54932    0.00711     8.54      0.36  1662.99      8.13   2.44635       8     0.082     4.56      24.10
   0.22510     0.50    0.50111    0.00823     8.97      0.38  1071.75      6.67   2.43883       8     0.085     4.61      24.17
   0.25211     0.45    0.45048    0.00927    11.04      0.52   547.23      1.18   2.76365       9     0.097     4.56      24.48
   0.28088     0.40    0.40827    0.01036    11.17      0.53   770.20      2.93   2.27193       9     0.098     4.61      24.47
   0.31190     0.35    0.36750    0.01141     9.46      0.42   567.15      1.27   2.18952       8     0.089     4.63      24.83
   0.34589     0.30    0.32071    0.01219    13.57      0.71   400.85      3.79   2.52807      11     0.112     4.58      25.11
   0.38391     0.25    0.27799    0.01294    16.64      0.97   351.23      1.53   2.18868      12     0.128     4.53      25.41
   0.42770     0.20    0.23323    0.01335    96.63     13.45   489.29      4.95   3.40551      43     0.528     4.53      26.16
   0.48042     0.15    0.18560    0.01323    26.98      1.99   534.40      3.71   2.24984      17     0.185     4.56      26.87
   0.54894     0.10    0.14272    0.01308   112.69     16.93   926.30      1.13   1.99210      48     0.614     4.55      28.37
   0.65410     0.05    0.09361    0.01191   133.91     21.93   457.47      4.36   2.46751      56     0.719     4.52      31.45
