# system = Be-sto
# path = examples/stowfn/Be/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 4
# optimized step size = 0.23549
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.02189     0.95    0.94472    0.00015   284.05     67.73  7542.16    747.65   3.12447      84     1.120     3.62      18.10
   0.04387     0.90    0.89187    0.00057    76.14      9.41  8644.11    227.06   2.38572      35     0.335     3.59      18.10
   0.06603     0.85    0.83667    0.00121    31.18      2.47  1671.45    134.58   3.06840      19     0.158     3.56      18.16
   0.08845     0.80    0.78586    0.00203    17.81      1.07  1044.89      3.13   2.90416      13     0.105     3.62      18.57
   0.11125     0.75    0.72909    0.00297    13.86      0.74  2649.17     17.97   3.06924      11     0.087     3.56      18.21
   0.13453     0.70    0.68445    0.00407    10.30      0.47  3452.56      4.51   3.17505       9     0.072     3.58      18.36
   0.15843     0.65    0.62929    0.00516     8.25      0.34  3041.17     13.90   3.10617       8     0.063     3.56      18.50
   0.18309     0.60    0.57537    0.00629     8.59      0.36   870.73      4.74   3.00933       8     0.064     3.58      18.63
   0.20870     0.55    0.52900    0.00749     8.60      0.36   911.75      5.86   2.42357       8     0.065     3.55      18.99
   0.23549     0.50    0.48489    0.00870     9.35      0.41  1038.19      6.71   2.25390       8     0.068     3.58      18.86
   0.26374     0.45    0.43831    0.00983     9.06      0.39   715.58      5.50   2.34682       8     0.067     3.56      19.15
   0.29384     0.40    0.39478    0.01093     9.08      0.39   475.36      1.75   2.24931       8     0.067     3.56      19.32
   0.32630     0.35    0.34835    0.01179    13.07      0.67   419.30      3.47   2.83566      10     0.085     3.56      19.58
   0.36186     0.30    0.30113    0.01248    15.70      0.89   567.55      7.33   3.02368      12     0.097     3.57      19.96
   0.40163     0.25    0.26135    0.01327    19.57      1.23   476.69      5.94   2.71165      14     0.114     3.56      20.52
   0.44744     0.20    0.21509    0.01338    31.50      2.51   784.52      2.97   3.08039      20     0.164     3.55      21.11
   0.50260     0.15    0.17004    0.01323    30.27      2.36   656.92      3.16   2.43747      19     0.160     3.57      22.12
   0.57428     0.10    0.12775    0.01273    35.06      2.95   710.93      5.93   1.98094      20     0.181     3.55      23.74
   0.68430     0.05    0.07952    0.01102   137.91     22.92   571.71      7.74   1.91333      59     0.587     3.55      27.91
