# system = Be2+-gto
# path = examples/gwfn/Be²⁺/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.23567
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.02191     0.95    0.94717    0.00015   211.52     43.52  1181.83   1051.58   2.28113      71     0.655     2.78      14.91
   0.04391     0.90    0.89379    0.00057    65.42      7.50  1253.65    636.34   2.28974      32     0.229     2.77      15.21
   0.06608     0.85    0.84340    0.00121    27.90      2.09   271.37    200.80   2.43524      18     0.114     2.75      15.07
   0.08852     0.80    0.79027    0.00203    18.80      1.16   200.49    125.77   2.26477      14     0.085     2.75      15.21
   0.11134     0.75    0.73761    0.00298    12.54      0.63   175.40     83.74   2.59740      10     0.065     2.79      15.24
   0.13463     0.70    0.68707    0.00403     9.24      0.40   108.92     68.06   2.48041       8     0.054     2.78      15.43
   0.15855     0.65    0.63778    0.00517     7.47      0.29    76.42     58.39   2.96452       7     0.047     2.73      15.40
   0.18323     0.60    0.58932    0.00633     8.05      0.33    81.47     55.24   2.24258       8     0.049     2.75      15.47
   0.20886     0.55    0.54114    0.00750     6.31      0.23    61.88     44.40   2.94842       6     0.043     2.74      15.61
   0.23567     0.50    0.49277    0.00859     7.64      0.30    66.40     46.35   2.33031       7     0.048     2.73      15.79
   0.26395     0.45    0.44609    0.00968     7.95      0.32    55.53     40.29   2.27046       7     0.049     2.73      15.87
   0.29407     0.40    0.40197    0.01075     9.12      0.39    42.07     35.58   2.49665       8     0.053     2.73      16.10
   0.32655     0.35    0.36053    0.01172     9.92      0.45    39.78     31.96   2.55144       9     0.056     2.73      16.27
   0.36214     0.30    0.31761    0.01253    12.65      0.64    37.31     34.25   3.19188      10     0.066     2.72      16.80
   0.40194     0.25    0.27815    0.01341    14.65      0.80    50.75     48.15   1.98297      11     0.073     2.72      17.11
   0.44778     0.20    0.23339    0.01362    18.97      1.17    43.71     49.98   3.74011      14     0.088     2.71      17.78
   0.50298     0.15    0.18685    0.01345    47.93      4.70    46.89     63.37   2.01201      28     0.179     2.70      18.54
   0.57473     0.10    0.13392    0.01213   726.81    277.16    75.49    360.60   3.48655     100     2.116     2.69      20.67
   0.68483     0.05    0.09594    0.01190   120.59     18.75    84.19    245.79   1.84215      56     0.399     2.68      23.03
