# system = C-pp
# path = examples/ppotential_HF/C/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 4
# optimized step size = 0.53531
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.04977     0.95    0.94576    0.00078   435.78    128.67  2187.77     36.72   0.21846     100     2.305     4.53      66.56
   0.09973     0.90    0.89359    0.00295   204.15     41.27  2234.40      5.25   0.39929      96     1.135     4.50      65.72
   0.15009     0.85    0.83893    0.00626    65.05      7.43   358.40      2.99   0.51717      44     0.451     4.49      68.03
   0.20107     0.80    0.78589    0.01050    50.34      5.06   352.97      4.52   0.42108      37     0.377     4.58      66.30
   0.25289     0.75    0.73450    0.01547    29.72      2.30   323.05      4.17   0.45246      26     0.261     4.50      67.06
   0.30581     0.70    0.68438    0.02103    25.10      1.79   188.53      2.31   0.40367      23     0.235     4.51      66.29
   0.36013     0.65    0.63411    0.02694    20.30      1.30   128.61      2.86   0.42983      20     0.209     4.54      67.10
   0.41619     0.60    0.58367    0.03300    15.56      0.87   143.23      1.84   0.43357      16     0.179     4.50      66.77
   0.47441     0.55    0.53955    0.03940     9.39      0.41   141.96      2.23   0.75595      11     0.140     4.50      66.04
   0.53531     0.50    0.48955    0.04546    12.49      0.63    83.72      1.87   0.41693      14     0.160     4.49      66.61
   0.59953     0.45    0.43972    0.05099    10.19      0.46   101.14      1.31   0.61607      12     0.145     4.49      66.38
   0.66795     0.40    0.40151    0.05762    10.85      0.51    71.35      1.99   0.42656      12     0.149     4.49      65.87
   0.74173     0.35    0.35361    0.06216    10.88      0.51   109.36      1.03   0.44019      12     0.148     4.45      65.96
   0.82256     0.30    0.31386    0.06765    11.03      0.52    99.99      2.75   0.48983      12     0.150     4.47      66.34
   0.91297     0.25    0.26831    0.07056    11.85      0.58    87.14      2.02   0.39229      13     0.154     4.47      65.95
   1.01710     0.20    0.22737    0.07355    16.01      0.91    76.99      2.02   0.52648      16     0.179     4.48      65.77
   1.14248     0.15    0.18303    0.07410    22.39      1.50    91.49      3.06   0.53837      20     0.215     4.44      66.00
   1.30543     0.10    0.14201    0.07386    27.89      2.09    94.34      4.36   0.43086      23     0.246     4.45      66.08
   1.55552     0.05    0.08851    0.06428    50.92      5.15   127.58      4.74   0.42933      35     0.372     4.44      69.06
