# system = C6H6-gto
# path = examples/gwfn/C6H6/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 42
# optimized step size = 0.05509
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00512     0.95    0.94861    0.00001  2571.59   1844.28  6826.66    930.14  53.39642     100  1899.939   703.82    3462.80
   0.01026     0.90    0.90004    0.00003   565.71    190.32 10957.03      6.76  40.61386     100   420.989   701.98    3454.00
   0.01545     0.85    0.84816    0.00007   271.56     63.30  8558.95     39.10  41.75259      81   228.862   772.07    3771.38
   0.02069     0.80    0.79688    0.00011   159.75     28.57  9468.93      7.32  48.00950      57   150.568   831.47    4161.19
   0.02602     0.75    0.74793    0.00017   139.56     23.33  8493.09     10.97  45.61172      50   129.546   816.72    3688.58
   0.03147     0.70    0.69734    0.00023   123.12     19.33  6886.88     12.59  48.15920      49   101.592   705.98    3830.88
   0.03706     0.65    0.64703    0.00030   192.58     37.81  2233.10      1.30  55.84314      63   181.502   848.99    3859.74
   0.04283     0.60    0.59929    0.00037   160.73     28.83  4462.87      4.79  48.12124      57   127.858   703.21    3450.74
   0.04882     0.55    0.54933    0.00044    68.36      8.00  4860.02      7.39  43.79488      32    58.969   697.40    3436.59
   0.05509     0.50    0.50208    0.00051    71.59      8.57  4341.24      8.10  50.02167      33    61.399   697.62    3435.82
   0.06170     0.45    0.44872    0.00057    70.32      8.35  3380.54      1.47  46.48578      33    60.473   697.88    3436.27
   0.06874     0.40    0.40013    0.00063    70.34      8.35  1463.86      2.30  50.49796      33    60.446   697.34    3434.66
   0.07633     0.35    0.35052    0.00068    61.92      6.90  2986.47      3.52  47.93732      30    54.185   697.98    3437.47
   0.08465     0.30    0.30639    0.00073    57.70      6.21  2692.74      4.46  43.72735      29    51.054   698.81    3432.26
   0.09395     0.25    0.25683    0.00075    46.49      4.49  4624.16      3.79  58.14967      25    42.466   697.29    3434.16
   0.10467     0.20    0.20671    0.00075    91.13     12.31  2804.51      7.28  45.41957      39    76.193   700.32    3440.37
   0.11757     0.15    0.15851    0.00072    97.49     13.63  2333.07      3.28  49.29013      41    80.618   697.50    3445.29
   0.13434     0.10    0.11375    0.00068   151.94     26.50  2217.39     11.90  45.62396      55   120.588   698.23    3441.71
   0.16007     0.05    0.06071    0.00051   131.36     21.30  8125.88     16.13  38.99065      46   104.919   696.82    3448.77
