# system = F-pp
# path = examples/ppotential_HF/F/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 7
# optimized step size = 0.21405
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01990     0.95    0.94564    0.00012   641.83    230.00  2224.95     39.90   5.41254     100     5.561     7.21     139.02
   0.03988     0.90    0.89764    0.00047   386.22    107.38  1907.65     22.56   4.12951     100     3.311     7.06     132.23
   0.06002     0.85    0.84980    0.00102   107.99     15.88  2564.76      5.14   3.96934      66     1.104     7.22     125.02
   0.08040     0.80    0.79959    0.00172    84.31     10.96  1687.87      2.90   3.62694      56     0.901     7.07     127.78
   0.10112     0.75    0.74697    0.00253    67.29      7.82  1173.37      2.35   3.96706      48     0.767     7.11     128.60
   0.12228     0.70    0.70036    0.00346    48.41      4.78   423.81      2.86   4.04783      38     0.610     7.15     128.35
   0.14400     0.65    0.65778    0.00450    43.05      4.01   524.70      1.26   3.47512      35     0.561     7.13     126.80
   0.16642     0.60    0.60885    0.00556    25.58      1.83   435.90      1.24   3.78494      24     0.406     7.14     126.68
   0.18970     0.55    0.55674    0.00659    27.85      2.09   334.06      1.02   3.67804      26     0.428     7.12     128.74
   0.21405     0.50    0.51032    0.00768    23.05      1.57   431.11      2.22   3.67296      23     0.383     7.10     128.23
   0.23973     0.45    0.46446    0.00874    24.84      1.76   264.46      1.83   3.99447      24     0.398     7.08     127.49
   0.26708     0.40    0.41896    0.00977    17.13      1.01   278.63      2.58   4.24132      18     0.326     7.09     127.51
   0.29659     0.35    0.37959    0.01089    18.79      1.16   257.68      2.18   3.76560      20     0.339     7.04     125.78
   0.32891     0.30    0.33240    0.01169    19.01      1.18   219.61      1.26   3.88161      20     0.345     7.11     127.86
   0.36506     0.25    0.29386    0.01266    22.04      1.47   259.51      1.31   3.57209      22     0.369     7.05     125.66
   0.40669     0.20    0.23960    0.01277    20.96      1.36   207.74      1.16   3.48072      21     0.361     7.07     127.56
   0.45683     0.15    0.20408    0.01368    42.89      3.98   173.40      3.34   4.23494      35     0.554     7.07     125.45
   0.52199     0.10    0.15133    0.01317    25.13      1.79   280.70      1.30   3.44464      23     0.395     7.02     127.42
   0.62198     0.05    0.10405    0.01274    40.02      3.59   310.89      2.07   4.43166      32     0.526     7.03     127.93
