# system = H-pp
# path = examples/ppotential_HF/H/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 1
# optimized step size = 1.24724
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.11596     0.95    0.94514    0.00420     1.92      0.04   862.67     12.42   0.00112       3     0.026     1.72      18.92
   0.23237     0.90    0.88873    0.01572     1.53      0.03   369.14      4.08   0.00125       2     0.024     1.70      19.17
   0.34971     0.85    0.83710    0.03324     1.78      0.03   145.19      2.39   0.00116       3     0.025     1.71      18.97
   0.46848     0.80    0.78551    0.05523     2.16      0.05   112.17      2.95   0.00115       3     0.026     1.69      19.04
   0.58922     0.75    0.73105    0.08031     2.67      0.06    95.04      3.74   0.00126       4     0.028     1.75      19.17
   0.71252     0.70    0.68064    0.10783     3.66      0.10    53.54      4.83   0.00130       5     0.031     1.71      19.09
   0.83908     0.65    0.62988    0.13685     4.77      0.15    38.54      6.97   0.00127       6     0.034     1.71      19.16
   0.96970     0.60    0.58289    0.16657     5.80      0.20    27.29      7.27   0.00119       7     0.037     1.70      19.10
   1.10536     0.55    0.53844    0.19694     6.75      0.25    36.82      9.15   0.00113       8     0.039     1.70      19.14
   1.24724     0.50    0.49124    0.22464     7.74      0.31    25.22     12.96   0.00114       9     0.042     1.68      19.23
   1.39689     0.45    0.45349    0.25546     9.96      0.45    19.55     14.39   0.00122      11     0.048     1.73      19.45
   1.55630     0.40    0.40988    0.27912    13.48      0.71    19.90     15.85   0.00115      13     0.057     1.80      19.47
   1.72821     0.35    0.36955    0.30255    15.21      0.85    19.57     18.07   0.00098      15     0.060     1.69      19.77
   1.91654     0.30    0.32540    0.31978    23.46      1.62    17.79     32.71   0.00172      20     0.077     1.69      19.88
   2.12719     0.25    0.28650    0.33865    34.78      2.91    16.84     40.39   0.00133      27     0.101     1.68      20.22
   2.36980     0.20    0.24306    0.34133    44.09      4.15    18.70     72.13   0.00131      32     0.120     1.68      20.69
   2.66193     0.15    0.20625    0.34801    41.79      3.83    19.71     90.02   0.00106      31     0.119     1.73      21.20
   3.04161     0.10    0.16096    0.33057    57.31      6.15    23.38     51.14   0.00085      39     0.148     1.68      22.45
   3.62430     0.05    0.11409    0.30421   261.80     59.92    31.89    240.80   0.00228     100     0.522     1.66      24.76
