# system = H2O-gto
# path = examples/gwfn/H2O/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.09831
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00914     0.95    0.94661    0.00003   610.64    213.44  9005.93    123.77  24.29081     100    13.414    20.75     102.60
   0.01832     0.90    0.89887    0.00010   167.15     30.58 10141.72     85.45  13.78464      58     4.087    21.70     105.18
   0.02757     0.85    0.84466    0.00021   124.99     19.77  3371.10     13.26  17.11656      47     3.380    23.51     109.16
   0.03693     0.80    0.79508    0.00036    76.52      9.48  6096.85      3.72  16.69190      34     1.982    21.42      98.81
   0.04645     0.75    0.74285    0.00053    62.08      6.93  6599.97      3.46  16.07760      29     1.775    23.03     105.77
   0.05617     0.70    0.69691    0.00073    36.57      3.13  1869.35      2.35  17.80624      21     1.033    20.88      97.53
   0.06614     0.65    0.64782    0.00094    32.96      2.68  1943.99      8.72  18.68455      19     0.967    21.29      98.61
   0.07644     0.60    0.59741    0.00115    32.96      2.68  1203.77      3.44  16.02219      19     0.971    21.29     100.77
   0.08713     0.55    0.54938    0.00138    23.35      1.60   907.87      4.28  17.04363      15     0.719    20.59      98.97
   0.09831     0.50    0.50692    0.00161    29.35      2.25  2698.31      3.61  15.02825      18     0.866    20.65     101.40
   0.11011     0.45    0.45855    0.00183    20.74      1.34  2320.51      4.07  16.40720      14     0.700    22.38      98.68
   0.12268     0.40    0.41043    0.00203    20.35      1.30   617.35      2.24  16.90603      14     0.696    22.38     102.42
   0.13623     0.35    0.36778    0.00224    24.19      1.69  1028.71      4.70  16.68427      16     0.754    21.13      99.17
   0.15107     0.30    0.32473    0.00242    22.48      1.51  2380.08      2.45  15.53304      15     0.700    20.66      98.55
   0.16768     0.25    0.27818    0.00255    25.73      1.85  1112.07      1.05  18.62908      16     0.793    21.22      99.25
   0.18680     0.20    0.23077    0.00262    25.88      1.87   786.48      1.99  15.25703      16     0.785    20.57     104.33
   0.20983     0.15    0.19215    0.00275    34.74      2.90   862.94      2.74  17.12409      20     0.986    20.66     100.73
   0.23976     0.10    0.14680    0.00271    49.55      4.94   683.98      2.22  14.03773      25     1.354    20.96     108.81
   0.28569     0.05    0.08960    0.00234   117.30     17.98  1159.97      2.59  13.95326      47     2.831    20.50     115.12
