# system = HF-gto
# path = examples/gwfn/HF/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.08663
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00805     0.95    0.94645    0.00002   480.62    149.05 12571.34     57.09  21.62015     100     8.167    15.97      78.42
   0.01614     0.90    0.89593    0.00008   327.93     84.01  3687.87      2.16  18.90292      90     5.935    16.79      77.79
   0.02429     0.85    0.84759    0.00017   175.31     32.85  5680.14      8.19  26.80164      60     3.186    16.18      78.85
   0.03254     0.80    0.79304    0.00028   133.65     21.87  2722.08     11.49  23.40406      51     2.408    15.64      78.81
   0.04092     0.75    0.74251    0.00041    59.99      6.58  5627.59      4.10  25.26196      29     1.186    15.73      76.38
   0.04949     0.70    0.69263    0.00056    40.14      3.60  2897.45      7.72  24.83965      22     0.887    16.63      77.09
   0.05828     0.65    0.64304    0.00072    36.88      3.18  3279.19      1.10  22.90102      21     0.813    16.23      78.05
   0.06735     0.60    0.59642    0.00090    28.37      2.14  1852.74      3.58  21.95962      17     0.673    16.67      78.09
   0.07677     0.55    0.54852    0.00107    26.69      1.96  1436.65      4.90  21.58695      17     0.632    16.11      81.86
   0.08663     0.50    0.49903    0.00123    26.97      1.99  1726.81      5.14  19.81147      17     0.639    16.23      80.71
   0.09702     0.45    0.45358    0.00140    24.96      1.77  1111.51      1.04  20.11173      16     0.630    17.11      82.68
   0.10809     0.40    0.40274    0.00155    26.55      1.94   738.72      5.10  25.92082      17     0.621    15.91      80.75
   0.12003     0.35    0.36550    0.00172    22.59      1.52  1145.93      1.13  21.79361      15     0.530    15.46      76.59
   0.13311     0.30    0.32041    0.00185    24.32      1.70   638.32      2.40  21.58618      16     0.577    15.72      81.96
   0.14774     0.25    0.27395    0.00195    28.28      2.13   785.46      2.63  18.56145      17     0.669    16.39      81.37
   0.16459     0.20    0.23317    0.00205    26.47      1.93  1854.31      3.89  22.12062      16     0.629    16.21      81.58
   0.18488     0.15    0.18265    0.00202    38.49      3.39   564.87      1.11  20.98366      22     0.837    15.83      85.12
   0.21125     0.10    0.13711    0.00197    36.61      3.15   464.54      2.20  21.70433      19     0.796    15.92      82.35
   0.25173     0.05    0.09212    0.00187    63.32      7.14   981.67      3.16  18.61761      29     1.253    15.73      85.88
