# system = He-gto
# path = examples/gwfn/He/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.52103
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.04844     0.95    0.94757    0.00074   179.92     34.15  1259.70   1024.72   0.68821      70     0.526     2.52      18.28
   0.09707     0.90    0.89226    0.00277    65.89      7.58  1277.41    651.78   0.62782      33     0.221     2.64      15.26
   0.14609     0.85    0.83995    0.00590    26.99      1.99   301.36    217.60   0.51372      18     0.107     2.64      15.06
   0.19571     0.80    0.78812    0.00988    17.57      1.05   278.58    173.12   0.54377      13     0.077     2.59      14.63
   0.24614     0.75    0.73898    0.01453    12.04      0.60   156.85    100.94   0.58052      10     0.059     2.51      14.83
   0.29765     0.70    0.68222    0.01955    10.03      0.46   124.38     73.08   0.58271       9     0.053     2.52      15.34
   0.35052     0.65    0.64021    0.02533     8.75      0.37    95.44     66.25   0.44722       8     0.051     2.63      15.84
   0.40509     0.60    0.58944    0.03091     7.99      0.32    92.02     56.37   0.47926       8     0.046     2.46      15.45
   0.46176     0.55    0.53982    0.03653     8.49      0.35    65.52     45.79   0.53193       8     0.050     2.64      15.99
   0.52103     0.50    0.49567    0.04238     7.40      0.29    57.76     41.53   0.58364       8     0.045     2.42      16.51
   0.58354     0.45    0.44627    0.04754    11.21      0.54    52.76     37.99   0.58209      10     0.058     2.43      17.04
   0.65013     0.40    0.40226    0.05237     7.70      0.31    49.15     35.74   0.72134       7     0.046     2.43      16.46
   0.72195     0.35    0.35632    0.05650    14.58      0.79    46.31     38.79   0.64722      12     0.072     2.58      17.84
   0.80062     0.30    0.31581    0.06105    14.12      0.76    50.11     41.59   0.36589      12     0.069     2.57      17.33
   0.88862     0.25    0.27501    0.06416    34.07      2.82    48.27     56.28   0.50850      22     0.132     2.61      17.59
   0.98997     0.20    0.22697    0.06473    81.27     10.38    55.50     90.10   1.23280      40     0.270     2.63      18.06
   1.11201     0.15    0.19177    0.06789    50.38      5.06    59.98     93.74   0.49211      30     0.177     2.52      18.76
   1.27061     0.10    0.14573    0.06528    30.05      2.34    60.81    103.30   0.38486      20     0.123     2.58      20.71
   1.51403     0.05    0.09713    0.05862   125.77     19.96   103.80    199.98   0.40993      60     0.420     2.68      25.70
