# system = He-sto
# path = examples/stowfn/He/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.52761
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.04905     0.95    0.94497    0.00076   197.27     39.21  1172.69   1046.73   0.42905      68     0.463     2.09      11.49
   0.09830     0.90    0.89250    0.00285    55.21      5.82   530.79    422.32   0.58361      29     0.150     2.09      11.60
   0.14794     0.85    0.83527    0.00601    23.68      1.64   332.37    215.63   0.51776      16     0.077     2.10      11.76
   0.19818     0.80    0.78678    0.01012    15.99      0.91   175.00    137.31   0.55208      12     0.058     2.10      11.74
   0.24925     0.75    0.73006    0.01478    12.30      0.62   135.82     93.35   0.53848      10     0.049     2.09      11.84
   0.30141     0.70    0.68003    0.02000    10.26      0.47   117.57     69.90   0.49006       9     0.044     2.09      11.93
   0.35495     0.65    0.63430    0.02567     7.97      0.32    88.77     61.97   0.46840       8     0.038     2.08      12.09
   0.41021     0.60    0.57919    0.03098     7.74      0.31    79.28     51.79   0.55433       8     0.037     2.09      12.18
   0.46759     0.55    0.53442    0.03708     8.28      0.34    60.79     44.71   0.53486       8     0.039     2.09      12.32
   0.52761     0.50    0.48694    0.04245     8.59      0.36    62.74     41.80   0.62686       8     0.040     2.08      12.49
   0.59092     0.45    0.44362    0.04821     7.77      0.31    57.49     42.74   0.46713       7     0.038     2.08      12.70
   0.65835     0.40    0.39646    0.05288    11.36      0.54    51.89     39.69   0.44830      10     0.048     2.11      12.84
   0.73107     0.35    0.35679    0.05837    10.13      0.46    49.72     41.33   0.57506       9     0.045     2.15      13.08
   0.81074     0.30    0.31011    0.06125    10.67      0.50    49.85     46.10   0.39802       9     0.046     2.08      13.46
   0.89985     0.25    0.26800    0.06452    18.01      1.09    42.47     46.85   0.33852      14     0.066     2.08      13.97
   1.00248     0.20    0.22046    0.06448    22.02      1.47    42.42     51.66   0.44039      16     0.077     2.09      14.63
   1.12606     0.15    0.18251    0.06598    27.87      2.09    55.75     87.28   0.33840      19     0.092     2.08      15.57
   1.28667     0.10    0.14459    0.06653   152.66     26.70    67.87    138.48   0.62109      65     0.378     2.08      16.71
   1.53316     0.05    0.09432    0.05821    98.07     13.75    84.65    157.08   0.63926      50     0.263     2.08      19.88
