# system = Kr-gto
# path = examples/gwfn/Kr/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 36
# optimized step size = 0.01719
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00160     0.95    0.94969    0.00000  1165.88    563.04 14505.02    112.14 515.41453     100   102.275    83.45     406.15
   0.00320     0.90    0.89899    0.00000   349.71     92.51  6385.73      8.53 609.49675      96    31.335    83.19     406.33
   0.00482     0.85    0.84264    0.00001   369.25    100.38  8413.56      4.86 701.10555      99    32.963    83.10     404.84
   0.00646     0.80    0.78881    0.00001   248.58     55.44  4302.67      9.15 712.90234      76    22.743    83.40     405.64
   0.00812     0.75    0.73827    0.00002   247.79     55.17  7569.23      1.48 752.20283      76    22.630    83.21     407.25
   0.00982     0.70    0.69136    0.00002   156.11     27.60 11170.54      3.09 726.00731      56    14.715    83.18     405.20
   0.01157     0.65    0.63881    0.00003    83.25     10.76  5344.96      1.96 687.18318      37     8.489    84.37     421.21
   0.01337     0.60    0.58933    0.00004    85.49     11.19  5554.15      1.59 734.39529      38     8.889    86.25     432.98
   0.01524     0.55    0.53908    0.00004    66.18      7.62 12617.25      1.44 718.85929      31     8.084    98.98     464.07
   0.01719     0.50    0.48975    0.00005    47.34      4.61  8278.40      3.35 892.82939      24     5.966    97.70     444.70
   0.01925     0.45    0.44438    0.00005    71.36      8.53  4885.90      1.86 778.68414      34     8.346    94.42     490.47
   0.02145     0.40    0.39969    0.00006    52.34      5.36 10653.65      2.51 669.18647      27     6.073    90.59     436.08
   0.02382     0.35    0.34825    0.00007    32.98      2.68 11473.46      2.29 1278.85377      19     4.000    87.24     422.65
   0.02642     0.30    0.30171    0.00007    48.29      4.76  8941.94      1.72 758.29937      25     5.620    89.31     442.66
   0.02932     0.25    0.25787    0.00007    53.55      5.55  7564.95      2.59 697.84540      28     6.137    88.47     468.47
   0.03266     0.20    0.21349    0.00008    52.36      5.37  8854.30      1.28 737.19789      26     6.275    93.95     440.88
   0.03669     0.15    0.16824    0.00007    60.36      6.64 11494.28      3.99 704.38635      30     6.551    84.79     470.53
   0.04192     0.10    0.12403    0.00007    68.13      7.96  4127.00      2.12 663.80702      32     7.626    89.47     484.18
   0.04995     0.05    0.07557    0.00006   136.14     22.48 13510.92      7.93 773.89966      49    15.000    96.49     459.00
