# system = Kr-sto
# path = examples/stowfn/Kr/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 36
# optimized step size = 0.01719
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00160     0.95    0.94600    0.00000  5269.64   5410.00  3377.17     24.13 1044.56417     100   247.445    44.74     221.55
   0.00320     0.90    0.89712    0.00000   943.43    409.87  4879.58     30.91 725.36046     100    44.281    44.54     221.90
   0.00482     0.85    0.84365    0.00001   439.99    130.54  7968.88     20.73 665.10918     100    20.928    44.54     221.76
   0.00646     0.80    0.79050    0.00001   289.85     69.82 13145.41     15.39 747.86029      85    14.053    44.53     222.14
   0.00812     0.75    0.74001    0.00002   176.57     33.19  6737.50      7.89 688.70719      61     8.844    44.55     221.97
   0.00982     0.70    0.68713    0.00002   103.93     15.00  8273.74      3.45 750.70843      43     5.457    44.53     222.65
   0.01157     0.65    0.64081    0.00003    91.32     12.35  5388.30      4.06 721.12024      39     4.855    44.46     221.93
   0.01337     0.60    0.58996    0.00004    74.71      9.14 11175.16      2.16 782.67216      34     4.087    44.66     223.11
   0.01524     0.55    0.54099    0.00004    75.34      9.26 14494.47      1.12 709.40238      34     4.127    44.76     223.80
   0.01719     0.50    0.49154    0.00005    58.96      6.41  5740.59      2.49 758.43069      29     3.327    44.58     223.37
   0.01925     0.45    0.44209    0.00005    63.53      7.17 10854.38      2.24 714.33115      31     3.556    44.70     223.80
   0.02145     0.40    0.39651    0.00006    46.18      4.44 10308.87      3.77 747.50160      25     2.714    44.67     224.45
   0.02382     0.35    0.35086    0.00007    54.50      5.70  9073.10      1.15 689.75535      28     3.120    44.66     224.81
   0.02642     0.30    0.30406    0.00007    38.14      3.34  5508.80      1.75 875.52430      22     2.320    44.69     224.42
   0.02932     0.25    0.25703    0.00007    42.75      3.96 10005.78      1.88 946.71048      23     2.553    44.74     226.00
   0.03266     0.20    0.21304    0.00008    71.32      8.53  5622.60      1.57 637.07583      33     3.939    44.75     226.39
   0.03669     0.15    0.17027    0.00008    77.86      9.73 13566.86      1.53 942.76355      35     4.243    44.62     226.94
   0.04192     0.10    0.12595    0.00007   103.13     14.82  6091.13      3.64 621.87650      43     5.464    44.79     229.36
   0.04995     0.05    0.07363    0.00006    89.13     11.91  6542.81      7.37 574.99588      35     4.788    44.86     235.09
