# system = Li+-gto
# path = examples/gwfn/Li⁺/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.32166
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.02990     0.95    0.94566    0.00028   256.14     57.99  1214.42   1013.46   1.09407      80     0.856     3.04      16.13
   0.05993     0.90    0.89324    0.00106    50.53      5.09   480.46    385.92   1.43080      27     0.202     3.05      16.38
   0.09019     0.85    0.84054    0.00225    34.75      2.90   329.71    196.72   1.34143      21     0.147     3.02      16.28
   0.12082     0.80    0.79268    0.00378    17.20      1.01   230.95    130.12   1.35315      13     0.086     2.97      16.42
   0.15196     0.75    0.73783    0.00556    11.55      0.56   191.14     98.99   1.43575      10     0.067     3.06      16.60
   0.18376     0.70    0.69060    0.00756    10.24      0.47   116.01     77.17   1.23094       9     0.064     3.03      18.07
   0.21640     0.65    0.64201    0.00965     8.05      0.33    89.94     55.20   1.31850       8     0.055     3.13      16.64
   0.25009     0.60    0.59384    0.01187     8.46      0.35    65.42     46.31   1.20934       8     0.055     3.04      16.54
   0.28507     0.55    0.54407    0.01400     7.68      0.31    63.14     40.90   1.32370       7     0.052     2.93      17.28
   0.32166     0.50    0.49628    0.01613     9.80      0.44    58.09     44.62   1.30301       9     0.056     2.72      16.45
   0.36026     0.45    0.45579    0.01844    10.36      0.47    51.15     33.64   1.43601       9     0.059     2.74      16.78
   0.40137     0.40    0.41070    0.02049     8.66      0.37    44.91     37.35   1.08938       8     0.053     2.71      17.31
   0.44570     0.35    0.36457    0.02214    15.94      0.90    47.32     39.00   1.26726      13     0.090     3.07      20.56
   0.49427     0.30    0.31891    0.02349    10.92      0.51    35.55     34.56   1.77218       9     0.061     2.75      17.23
   0.54860     0.25    0.27871    0.02478    69.84      8.27    51.16     62.03   1.56972      35     0.252     2.83      17.66
   0.61117     0.20    0.22988    0.02507    58.09      6.27    53.21     67.13   1.29528      32     0.212     2.75      18.27
   0.68651     0.15    0.18935    0.02537    45.69      4.38    47.20     63.08   1.28666      27     0.175     2.74      18.96
   0.78443     0.10    0.14307    0.02424    59.78      6.54    53.33     89.68   1.18427      33     0.218     2.71      20.50
   0.93470     0.05    0.09380    0.02160   119.09     18.40    81.45    170.34   1.17032      57     0.398     2.66      25.43
