# system = N-gto
# path = examples/gwfn/N/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 7
# optimized step size = 0.11362
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01056     0.95    0.95085    0.00004   232.65     50.21 13100.56    207.16  10.59084      73     1.956     7.63      37.17
   0.02117     0.90    0.89966    0.00013   116.29     17.75  4818.63     39.93  11.71032      46     1.034     7.64      37.33
   0.03186     0.85    0.84800    0.00029    75.49      9.29  2357.93     33.29  11.57629      34     0.700     7.59      37.43
   0.04268     0.80    0.79949    0.00048    48.86      4.84  8033.35      8.28  11.75708      26     0.482     7.59      37.32
   0.05367     0.75    0.74655    0.00071    31.93      2.56  2146.98      3.15  11.76984      19     0.340     7.59      37.42
   0.06491     0.70    0.69936    0.00097    20.79      1.34  3431.42      1.36  11.54646      14     0.244     7.56      37.56
   0.07643     0.65    0.65218    0.00126    15.86      0.90  1149.69      8.89  11.76424      12     0.201     7.55      37.63
   0.08833     0.60    0.60480    0.00156    13.73      0.72  1392.45     10.51  10.78534      11     0.182     7.59      37.70
   0.10069     0.55    0.55826    0.00186    13.73      0.72  2785.19      4.24  12.34563      11     0.182     7.54      37.93
   0.11362     0.50    0.51347    0.00218    15.72      0.89   963.06      1.12   9.90805      12     0.199     7.53      37.97
   0.12725     0.45    0.46766    0.00248    13.11      0.68   778.18      1.93  11.16563      10     0.183     7.97      38.32
   0.14177     0.40    0.41677    0.00273    15.12      0.84  1153.18      2.96   9.95648      11     0.201     7.89      38.56
   0.15743     0.35    0.37415    0.00303    12.29      0.61   767.36      1.04  11.97832      10     0.170     7.54      39.33
   0.17458     0.30    0.33077    0.00326    16.19      0.92   549.07      4.66   9.39566      12     0.224     8.42      40.16
   0.19377     0.25    0.28189    0.00341    18.39      1.12   924.73      6.05   9.38836      13     0.228     7.60      40.85
   0.21587     0.20    0.24429    0.00367    22.77      1.54   860.14      2.97  11.32826      15     0.269     7.57      42.68
   0.24248     0.15    0.19701    0.00371    21.95      1.46   612.87      1.08   7.99097      14     0.257     7.56      40.77
   0.27707     0.10    0.14782    0.00360    77.61      9.69  1018.69      1.67  10.81074      36     0.724     7.55      42.18
   0.33015     0.05    0.10266    0.00351    58.99      6.42   539.72      4.49  13.42474      29     0.570     7.46      45.25
