# system = N-pp
# path = examples/ppotential_HF/N/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 5
# optimized step size = 0.37532
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.03489     0.95    0.94667    0.00038   524.43    169.89  1181.11     19.77   0.81338     100     3.078     5.00      80.08
   0.06992     0.90    0.89556    0.00145   181.96     34.74  1740.58      5.65   0.60766      90     1.163     5.04      78.92
   0.10523     0.85    0.84106    0.00309   113.75     17.17  1903.14      6.77   0.81748      66     0.792     5.04      81.56
   0.14097     0.80    0.78921    0.00519    76.56      9.48   722.38      5.65   1.01653      51     0.587     5.06      83.41
   0.17731     0.75    0.73883    0.00767    38.62      3.41   285.05      3.33   0.84552      32     0.358     5.04      82.28
   0.21441     0.70    0.68924    0.01043    30.11      2.34   299.17      1.67   1.01639      27     0.303     5.00      81.72
   0.25249     0.65    0.63775    0.01336    22.23      1.49   203.69      1.59   0.92474      22     0.253     5.00      81.35
   0.29180     0.60    0.58968    0.01644    19.95      1.27   238.31      2.00   0.84348      20     0.237     4.99      81.12
   0.33262     0.55    0.54788    0.01984    16.85      0.99   207.40      1.98   0.89828      18     0.215     4.99      80.18
   0.37532     0.50    0.49368    0.02266    15.94      0.90   143.19      1.00   0.84306      17     0.211     5.00      81.47
   0.42035     0.45    0.45450    0.02614    12.45      0.63   140.53      1.70   1.05927      14     0.186     5.00      80.49
   0.46832     0.40    0.41250    0.02929    15.13      0.84   132.27      2.18   0.97850      16     0.203     4.97      79.87
   0.52005     0.35    0.36385    0.03175    17.74      1.06   127.32      2.09   1.28348      18     0.223     5.01      80.85
   0.57672     0.30    0.32264    0.03446    13.68      0.72   112.74      1.49   0.86480      15     0.194     5.04      79.85
   0.64011     0.25    0.27839    0.03647    13.42      0.70   125.70      1.19   0.87419      15     0.192     4.98      80.59
   0.71311     0.20    0.23639    0.03820    16.72      0.97   150.83      2.36   0.74429      17     0.213     5.00      80.02
   0.80102     0.15    0.19219    0.03903    20.05      1.28   170.49      2.26   0.83195      19     0.236     5.00      80.97
   0.91527     0.10    0.14866    0.03908    23.12      1.58   184.16      2.95   0.82100      20     0.255     5.03      81.14
   1.09061     0.05    0.10182    0.03729    67.98      7.93   165.86      4.71   1.11684      46     0.524     4.95      81.81
