# system = N-sto
# path = examples/stowfn/N/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 7
# optimized step size = 0.11907
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01107     0.95    0.94656    0.00004   357.74     95.71 10371.05    889.30  10.80462      97     2.093     5.44      26.62
   0.02218     0.90    0.89625    0.00015   141.16     23.73  7960.25     63.74  10.14376      52     0.876     5.43      26.55
   0.03339     0.85    0.83988    0.00031    56.30      5.98  5144.67     18.20  12.25441      28     0.389     5.44      26.64
   0.04472     0.80    0.78983    0.00052    42.53      3.93  2151.63     10.91  11.59995      23     0.311     5.52      26.72
   0.05625     0.75    0.74196    0.00078    25.69      1.85  5520.09      1.68  10.40499      17     0.206     5.43      26.94
   0.06802     0.70    0.68636    0.00105    15.15      0.84  5612.58      6.17  10.89978      11     0.141     5.49      26.94
   0.08010     0.65    0.64447    0.00136    21.55      1.42  1234.69      9.13   8.78987      15     0.180     5.44      27.03
   0.09257     0.60    0.58956    0.00166    11.99      0.59  1613.78      4.59  13.13734      10     0.119     5.42      27.20
   0.10552     0.55    0.54262    0.00198    14.31      0.77  1155.55      4.86   9.76595      11     0.135     5.43      27.30
   0.11907     0.50    0.49369    0.00229    11.18      0.53  1747.14      6.95  12.77021       9     0.114     5.44      27.46
   0.13336     0.45    0.44736    0.00260    14.91      0.82   822.30      3.78  12.00100      11     0.139     5.46      27.66
   0.14857     0.40    0.40139    0.00289    12.96      0.66  1178.70      2.57   9.67119      10     0.126     5.42      27.86
   0.16499     0.35    0.35781    0.00316    16.35      0.94   651.32      1.22   9.69801      12     0.149     5.44      28.16
   0.18297     0.30    0.31394    0.00341    15.62      0.88   808.60      2.13  11.36396      12     0.144     5.42      28.51
   0.20308     0.25    0.26553    0.00353    26.19      1.90   742.65      4.38  10.94775      17     0.212     5.41      29.01
   0.22624     0.20    0.22111    0.00364    20.94      1.36   856.05      3.18   9.28051      14     0.179     5.40      29.72
   0.25413     0.15    0.18000    0.00371    27.98      2.10   663.93      3.14   8.39645      17     0.224     5.40      30.56
   0.29037     0.10    0.13895    0.00371    38.69      3.41   578.73      2.25   6.39557      22     0.291     5.41      32.03
   0.34600     0.05    0.08597    0.00323   105.75     15.39   893.07      2.56   8.52494      46     0.694     5.41      35.96
