# system = NH3-gto
# path = examples/gwfn/NH3/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.10951
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01018     0.95    0.95067    0.00003   741.34    285.49  5568.96    133.74   9.87912     100    21.662    27.75     129.51
   0.02040     0.90    0.90244    0.00013   207.43     42.28  5056.43     30.30  13.16774      66     6.201    27.05     123.53
   0.03070     0.85    0.84913    0.00027    90.00     12.08  4608.00     22.55  13.64777      38     2.778    25.97     121.14
   0.04113     0.80    0.79943    0.00045    56.30      5.99  1906.63     20.65  12.26158      27     1.949    27.52     125.76
   0.05173     0.75    0.75420    0.00067    66.59      7.69  1476.96      9.98  12.56799      32     2.467    29.79     148.48
   0.06256     0.70    0.70731    0.00092    27.98      2.10  2064.63      3.90  14.93797      17     1.152    29.04     131.19
   0.07367     0.65    0.65902    0.00118    57.36      6.15  2288.69      4.76  11.80430      28     2.148    29.86     136.32
   0.08514     0.60    0.61586    0.00148    33.30      2.73  4292.84      1.55  11.33876      19     1.232    26.82     125.76
   0.09705     0.55    0.56479    0.00176    29.51      2.27  1060.58      6.91  11.30728      18     1.078    25.83     121.98
   0.10951     0.50    0.52011    0.00206    28.99      2.21   996.07      3.69  11.72917      18     1.063    25.85     121.37
   0.12265     0.45    0.47206    0.00234    22.14      1.48  1019.72      1.57  12.21193      15     0.886    26.45     126.33
   0.13664     0.40    0.42928    0.00263    20.46      1.32  1220.93      3.46  12.41882      14     0.829    26.31     125.02
   0.15173     0.35    0.38376    0.00290    24.54      1.73   785.58      2.57  12.83706      16     0.993    27.54     128.60
   0.16827     0.30    0.33446    0.00310    28.76      2.19   810.79      3.49  12.86714      18     1.116    26.83     137.06
   0.18676     0.25    0.29360    0.00335    17.00      0.99   975.97      5.07  17.64878      12     0.778    28.32     135.90
   0.20807     0.20    0.24861    0.00350    31.57      2.51  1182.56      2.78   9.92554      18     1.375    31.55     141.76
   0.23371     0.15    0.21005    0.00372    38.61      3.41   609.80      4.08  12.02793      20     1.615    31.83     133.63
   0.26705     0.10    0.15440    0.00355    56.50      6.02  2722.08      2.30   9.50197      27     1.991    27.92     132.90
   0.31821     0.05    0.10319    0.00334    80.54     10.23   767.47      3.58   8.29360      32     2.998    31.43     130.28
