# system = Ne-gto
# path = examples/gwfn/Ne/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.07388
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00687     0.95    0.94828    0.00001  1279.81    647.56  7587.65     32.59  31.00201     100    14.600    10.86      52.52
   0.01376     0.90    0.89999    0.00006   386.14    107.33  4931.57    129.14  27.14300     100     4.352    10.50      52.45
   0.02071     0.85    0.85154    0.00012   142.35     24.03  4481.98      5.55  36.23561      53     1.716    10.53      52.70
   0.02775     0.80    0.80303    0.00021    69.56      8.21  3591.80      9.96  33.87924      33     0.900    10.46      52.60
   0.03490     0.75    0.74945    0.00030    47.19      4.59  2085.86      6.52  32.93979      25     0.648    10.47      52.72
   0.04220     0.70    0.70105    0.00041    34.17      2.83  1783.88      1.24  38.08304      20     0.497    10.44      52.88
   0.04970     0.65    0.65784    0.00054    34.70      2.90  1168.62      5.20  30.84442      20     0.503    10.45      52.85
   0.05744     0.60    0.61260    0.00067    28.13      2.12  3890.32      5.27  32.04356      18     0.426    10.46      52.58
   0.06547     0.55    0.56545    0.00080    27.08      2.00  2184.90      4.55  33.21861      17     0.412    10.37      52.96
   0.07388     0.50    0.52162    0.00094    24.59      1.73  1630.59      3.76  31.98012      16     0.384    10.41      53.17
   0.08274     0.45    0.46701    0.00105    22.20      1.48  1781.39      2.76  27.59897      15     0.355    10.41      53.28
   0.09218     0.40    0.42577    0.00119    18.27      1.11   866.31      1.96  34.71229      13     0.308    10.38      53.37
   0.10236     0.35    0.37727    0.00129    19.51      1.22  1685.13      3.38  34.41298      14     0.323    10.40      53.63
   0.11352     0.30    0.33849    0.00143    21.04      1.37  1055.72      2.59  27.74956      15     0.342    10.38      53.84
   0.12600     0.25    0.29044    0.00151    25.91      1.87   611.76      1.42  31.25495      17     0.403    10.45      54.43
   0.14037     0.20    0.24865    0.00159    31.23      2.48  1117.52      3.49  26.47816      19     0.465    10.42      54.85
   0.15767     0.15    0.19267    0.00155    37.60      3.26   867.93      3.60 259.69176      21     0.542    10.45      55.86
   0.18016     0.10    0.15378    0.00161    46.24      4.46  1039.66      4.79  23.98415      25     0.643    10.45      57.16
   0.21467     0.05    0.09798    0.00145    60.56      6.67   614.74      7.11  35.48039      29     0.803    10.34      60.64
