# system = Ne-sto
# path = examples/stowfn/Ne/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.07587
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00705     0.95    0.94556    0.00002  2332.43   1593.14  3263.38    159.89  35.40929     100    18.799     7.70      35.97
   0.01414     0.90    0.89663    0.00006   159.40     28.49  5108.49     10.51  27.23239      56     1.367     7.60      36.07
   0.02127     0.85    0.84752    0.00013    91.79     12.44  8728.93      1.07  46.20766      39     0.830     7.61      36.18
   0.02850     0.80    0.79830    0.00022    95.19     13.14  3480.83      2.74  29.06833      40     0.868     7.71      36.21
   0.03584     0.75    0.74351    0.00032    85.93     11.28  1478.70      1.75  32.34531      37     0.789     7.67      36.38
   0.04334     0.70    0.69869    0.00044    49.96      5.00  2520.62      6.68  28.88588      26     0.498     7.75      36.37
   0.05104     0.65    0.65304    0.00056    29.13      2.23  1074.51      2.75  29.66684      18     0.315     7.61      36.52
   0.05899     0.60    0.59845    0.00069    39.26      3.49  1488.47      2.56  26.08409      22     0.400     7.58      36.70
   0.06724     0.55    0.55130    0.00082    37.56      3.26  1584.68      4.99  28.80345      21     0.387     7.60      36.77
   0.07587     0.50    0.50356    0.00096    23.75      1.64  2344.54      1.10  29.64228      16     0.269     7.59      36.95
   0.08498     0.45    0.45767    0.00109    34.99      2.93  2686.80      1.39  25.95389      20     0.371     7.72      37.25
   0.09467     0.40    0.41436    0.00122    24.73      1.75  1102.21      3.43  26.12627      16     0.278     7.58      37.38
   0.10513     0.35    0.36797    0.00133    23.68      1.64   737.51      1.06  30.31097      16     0.270     7.60      37.79
   0.11659     0.30    0.31859    0.00142    23.91      1.66  1017.31      2.29  30.25297      16     0.273     7.61      38.05
   0.12940     0.25    0.27901    0.00152    23.78      1.64   926.95      4.05  26.72209      16     0.272     7.59      38.49
   0.14416     0.20    0.22959    0.00155    30.27      2.36   617.79      2.03  31.81148      18     0.329     7.60      39.17
   0.16193     0.15    0.18742    0.00159    55.14      5.80  1395.81      5.36  24.72262      28     0.538     7.57      39.96
   0.18503     0.10    0.13759    0.00152    47.38      4.62  1033.20      1.31  26.14266      25     0.476     7.57      41.75
   0.22048     0.05    0.09065    0.00141    79.55     10.04  1079.45      1.01  32.71870      36     0.747     7.58      45.32
