# system = O-pp
# path = examples/ppotential_HF/O/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 6
# optimized step size = 0.27708
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.02576     0.95    0.94497    0.00021   871.16    363.66  3393.86      1.37   1.89491     100     6.174     5.97     108.80
   0.05162     0.90    0.89791    0.00080   303.11     74.68  4258.15     13.48   2.07593     100     2.168     5.83     107.10
   0.07769     0.85    0.84683    0.00169   136.14     22.48  1676.73     10.29   1.88297      78     1.093     5.89     106.10
   0.10408     0.80    0.79362    0.00285    81.43     10.41   940.20      7.18   1.83138      55     0.728     5.84     107.12
   0.13090     0.75    0.74629    0.00423    52.56      5.40   648.13      3.68   2.42282      41     0.537     5.93     107.69
   0.15829     0.70    0.69807    0.00578    37.43      3.25   616.90      1.32   2.13056      32     0.425     5.87     107.47
   0.18641     0.65    0.64314    0.00736    28.50      2.16   499.98      3.03   2.24073      27     0.363     5.87     109.25
   0.21543     0.60    0.59785    0.00913    22.82      1.55   306.09      2.42   2.11198      23     0.317     5.85     108.32
   0.24556     0.55    0.55030    0.01091    25.91      1.87   297.03      4.29   2.08064      25     0.341     5.88     107.47
   0.27708     0.50    0.50363    0.01266    18.51      1.13   280.51      1.73   2.17612      20     0.283     5.88     106.63
   0.31033     0.45    0.45871    0.01442    15.51      0.87   227.33      1.22   2.26086      17     0.260     5.89     107.50
   0.34574     0.40    0.41053    0.01596    16.65      0.97   201.34      1.75   2.11511      18     0.270     5.87     108.36
   0.38393     0.35    0.37047    0.01774    18.14      1.10   193.19      1.93   2.13544      19     0.279     5.88     106.60
   0.42577     0.30    0.32280    0.01894    14.93      0.82   205.49      2.70   1.94170      17     0.253     5.84     107.17
   0.47257     0.25    0.28019    0.02017    16.54      0.96   143.74      2.59   2.09107      18     0.267     5.90     106.65
   0.52647     0.20    0.23851    0.02118    18.05      1.09   242.83      1.42   2.30742      19     0.278     5.84     107.75
   0.59136     0.15    0.20000    0.02239    27.88      2.09   141.49      2.07   2.89231      26     0.353     5.85     106.20
   0.67571     0.10    0.15102    0.02179    26.93      1.98   159.13      2.83   2.03308      24     0.342     5.83     105.53
   0.80516     0.05    0.09444    0.01907    40.48      3.65   200.39      4.96   1.71981      31     0.442     5.82     109.40
