# system = O3-gto
# path = examples/gwfn/O3/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 24
# optimized step size = 0.05726
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00532     0.95    0.94830    0.00001  1231.01    610.88 14124.53    459.69  65.47834     100   111.258    85.91     427.08
   0.01067     0.90    0.89951    0.00003   380.27    104.90 11912.40    116.10  46.09548      99    37.587    92.47     415.70
   0.01605     0.85    0.84365    0.00007   238.92     52.25  6400.05     48.57  46.66682      74    23.068    87.82     425.89
   0.02151     0.80    0.79905    0.00012    99.91     14.14  8120.12     39.07  48.97341      39    11.808   101.64     424.29
   0.02705     0.75    0.74314    0.00018   131.27     21.29  2710.69      5.74  49.09388      50    12.483    82.73     400.91
   0.03271     0.70    0.68873    0.00025    66.36      7.65  5532.38     17.18  55.95517      31     6.776    82.32     401.97
   0.03852     0.65    0.63934    0.00032    87.40     11.56  2466.56      4.87  50.87046      38     8.758    83.74     403.05
   0.04452     0.60    0.59296    0.00039    57.33      6.15  1996.43      4.45  47.56997      28     5.982    82.46     401.17
   0.05074     0.55    0.54412    0.00047    56.58      6.03  2183.47     10.56  49.90002      28     5.893    82.13     400.21
   0.05726     0.50    0.49313    0.00054    42.39      3.91  3039.43      4.05  49.73516      23     4.626    82.15     400.18
   0.06413     0.45    0.44506    0.00061    46.95      4.56  2213.25      6.31  47.37994      25     5.025    81.95     400.15
   0.07145     0.40    0.39934    0.00068    44.51      4.21  4412.81      5.08  53.75273      24     4.801    81.86     399.94
   0.07934     0.35    0.34656    0.00072    35.52      3.00  4761.48      6.93  51.16411      21     3.997    81.99     400.36
   0.08798     0.30    0.29896    0.00076    43.19      4.02  2185.09      3.66  50.97810      23     4.686    81.86     400.87
   0.09765     0.25    0.25366    0.00080    39.07      3.46  3710.39      4.68  48.10975      22     4.311    81.78     401.53
   0.10879     0.20    0.20391    0.00079    41.94      3.85  2794.31      4.37  50.38600      23     4.567    81.78     401.99
   0.12220     0.15    0.15861    0.00078    59.35      6.47  2511.29      1.80  47.55314      29     6.105    81.60     402.90
   0.13963     0.10    0.11084    0.00071    91.18     12.33  1203.97      4.75  90.04244      38     8.895    81.70     406.54
   0.16638     0.05    0.06015    0.00054   208.25     42.53  3601.27      4.31  73.47501      67    18.886    81.61     413.59
