# system = O3-sto
# path = examples/stowfn/O3/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 24
# optimized step size = 0.05714
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00531     0.95    0.94849    0.00001  2571.49   1844.21 14763.90    590.78  39.49530     100    98.978    36.87     159.65
   0.01065     0.90    0.89736    0.00003   818.20    331.04  3953.42     49.31  42.02205     100    31.662    36.91     159.58
   0.01602     0.85    0.84920    0.00007   349.99     92.61  8374.18     73.38  52.05870      92    13.865    36.99     160.30
   0.02146     0.80    0.79393    0.00012   285.19     68.12 11258.30      4.36  50.15114      81    11.366    36.83     160.56
   0.02699     0.75    0.74449    0.00018   287.54     68.97  7785.12      1.91  45.18981      81    11.429    36.75     160.65
   0.03264     0.70    0.69173    0.00025   109.19     16.14  5948.51      9.12  51.14513      42     4.664    36.92     160.27
   0.03844     0.65    0.64892    0.00032    90.08     12.11  3729.48      1.08  49.60271      37     3.919    36.87     160.77
   0.04443     0.60    0.59157    0.00039    63.55      7.17  5483.77      1.64  52.50379      29     2.872    36.76     160.34
   0.05064     0.55    0.54579    0.00046    38.15      3.34  5296.14      2.72  50.60946      21     1.864    36.81     160.82
   0.05714     0.50    0.49518    0.00054    51.15      5.18  4954.59      7.27  49.75572      25     2.395    36.98     161.04
   0.06400     0.45    0.44494    0.00060    45.40      4.33  3210.26      1.53  48.62922      23     2.168    37.04     161.39
   0.07130     0.40    0.39498    0.00066    43.55      4.07  9141.77      1.17  45.61332      23     2.085    36.78     163.13
   0.07918     0.35    0.35388    0.00073    40.53      3.66  2150.75      2.46  40.33210      22     1.962    36.80     161.74
   0.08780     0.30    0.30278    0.00077    42.00      3.85  1733.19      2.31  46.38191      22     2.023    36.79     163.21
   0.09746     0.25    0.25598    0.00080    43.17      4.02  4935.71      5.16  51.57882      23     2.071    36.83     163.09
   0.10857     0.20    0.21121    0.00082    42.29      3.90  2272.56      6.77  46.81949      22     2.038    36.88     163.63
   0.12195     0.15    0.16692    0.00082    48.87      4.84  3934.73      5.76  55.60962      24     2.296    36.77     164.67
   0.13935     0.10    0.11392    0.00073    85.95     11.28   901.47     12.71  44.22123      36     3.766    36.84     167.26
   0.16604     0.05    0.06309    0.00056   162.04     29.19  2215.12     15.49  47.50898      54     6.734    36.96     174.04
