# system = Ar-gto
# path = examples/gwfn/Ar/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 18
# optimized step size = 0.35275
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.03280     0.95    0.92348    0.00033    20.97      1.36  6091.07      2.96 135.02095      11     1.485    53.97     121.71    1.00000
   0.06572     0.90    0.85352    0.00120     7.96      0.32   890.14      1.23 126.78550       6     0.685    52.75     121.55    1.00000
   0.09891     0.85    0.79312    0.00250     6.39      0.23   710.75      1.17 137.89468       5     0.577    51.51     121.88    1.00000
   0.13250     0.80    0.73923    0.00415     6.45      0.24   513.28      1.00 130.16131       5     0.573    50.58     121.67    1.00000
   0.16665     0.75    0.69118    0.00609     7.48      0.29   361.96      1.08 109.78557       6     0.627    49.57     121.76    1.00000
   0.20152     0.70    0.64880    0.00829     9.90      0.44   279.73      1.02 118.88556       7     0.760    48.92     121.70    1.00000
   0.23732     0.65    0.61080    0.01075    14.27      0.77   195.73      1.03 115.22154       9     0.992    48.14     121.52    1.00000
   0.27426     0.60    0.57466    0.01341    18.04      1.09   156.75      1.03 158.07964      11     1.182    47.41     121.79    1.00000
   0.31263     0.55    0.54189    0.01631    21.32      1.40   111.00      1.11 109.50591      12     1.337    46.71     121.94    1.00000
   0.35275     0.50    0.51029    0.01944    21.13      1.38   108.23      1.08 118.89265      12     1.315    46.18     121.90    1.00000
   0.39508     0.45    0.48006    0.02277    41.73      3.82    83.79      1.05 157.08897      19     2.318    45.61     121.82    1.00000
   0.44016     0.40    0.45162    0.02640    45.90      4.41    84.85      1.05 125.83682      20     2.494    45.07     121.72    1.00000
   0.48879     0.35    0.42413    0.03033    56.10      5.95    65.37      1.06 151.30174      23     2.943    44.43     121.69    0.99999
   0.54205     0.30    0.39837    0.03479    48.61      4.81    47.72      1.01 101.43269      21     2.566    43.91     122.52    0.99999
   0.60163     0.25    0.37051    0.03957   209.16     42.79    51.14      1.23 132.62469      57     9.759    43.41     121.49    0.99995
   0.67025     0.20    0.34333    0.04507   100.48     14.26    37.23      1.06 106.78162      35     4.819    42.64     121.64    0.99983
   0.75287     0.15    0.31434    0.05162   134.66     22.12    30.20      1.09 105.72705      42     6.272    42.23     121.53    0.99965
   0.86025     0.10    0.28215    0.05969   203.79     41.15    28.25      1.71  88.65658      56     9.097    41.38     121.35    0.99913
   1.02505     0.05    0.24264    0.07155   231.18     49.74    23.28      2.09  87.31348      62    10.074    40.60     121.86    0.99680
