# system = Be-gto
# path = examples/gwfn/Be/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 4
# optimized step size = 0.73930
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.06873     0.95    0.93041    0.00145    29.75      2.30  4170.52      8.59   2.35414      16     0.317     8.15      25.31    1.00000
   0.13774     0.90    0.86362    0.00533     6.66      0.25  1041.54      5.85   3.81297       6     0.123     9.30      32.62    0.99992
   0.20729     0.85    0.79969    0.01106     5.08      0.17   359.29      1.72   3.04932       5     0.086     8.14      24.56    0.99964
   0.27769     0.80    0.74396    0.01831     4.11      0.12   281.73      4.08   3.00708       4     0.073     7.89      23.96    0.99894
   0.34926     0.75    0.69203    0.02664     4.39      0.13   228.20      2.52   2.59157       4     0.075     7.73      23.89    0.99737
   0.42235     0.70    0.64805    0.03615     4.98      0.16   186.93      2.33   2.70721       4     0.090     9.16      24.01    0.99582
   0.49736     0.65    0.60701    0.04653     5.78      0.20    89.50      1.59   2.62350       5     0.094     8.34      24.18    0.99284
   0.57479     0.60    0.56798    0.05800     6.69      0.25    98.55      1.52   2.39422       6     0.096     7.33      24.80    0.98868
   0.65520     0.55    0.53520    0.07061     9.44      0.42    72.17      1.24   2.81397       7     0.118     7.24      24.06    0.98333
   0.73930     0.50    0.50446    0.08454    10.07      0.46    54.39      1.11   2.12245       8     0.126     7.18      25.97    0.97847
   0.82800     0.45    0.47558    0.09940    13.85      0.74    49.35      1.34   2.14399      10     0.163     7.24      28.19    0.96956
   0.92249     0.40    0.44993    0.11587    17.24      1.02    46.86      1.10   2.14132      11     0.208     8.13      28.15    0.95955
   1.02439     0.35    0.42602    0.13561    22.17      1.49    35.69      1.00   2.69545      14     0.221     7.01      25.33    0.94774
   1.13602     0.30    0.40376    0.15747    31.94      2.56    42.50      1.12   2.32551      17     0.313     7.48      25.39    0.93440
   1.26089     0.25    0.38043    0.18212    77.14      9.59    29.34      1.10   2.47124      32     0.640     7.04      25.85    0.91705
   1.40470     0.20    0.35855    0.21177    56.46      6.01    27.26      1.08  11.12573      24     0.557     8.32      23.76    0.89839
   1.57786     0.15    0.33599    0.25027   103.32     14.87    24.44      1.00   2.56854      38     0.801     6.80      23.68    0.87573
   1.80291     0.10    0.30637    0.29453   139.25     23.26    19.60      1.27   2.85653      49     1.097     6.98      28.70    0.83777
   2.14830     0.05    0.27030    0.36121   149.18     25.78    16.78      1.18   1.68692      48     1.270     7.70      25.34    0.78036
