# system = Be2+-gto
# path = examples/gwfn/Be²⁺/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.33808
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.03143     0.95    0.94382    0.00031   127.28     20.32  1105.48    759.70   2.46613      42     0.833     5.89      18.06    0.99676
   0.06299     0.90    0.88899    0.00115    29.22      2.24   315.10    209.33   2.98902      16     0.173     4.38      16.02    0.98812
   0.09479     0.85    0.83523    0.00243    13.89      0.74   136.67     96.72   3.08283      10     0.096     4.29      16.33    0.97250
   0.12699     0.80    0.78531    0.00405     7.58      0.30    78.28     60.04   3.26297       7     0.059     3.87      15.88    0.95402
   0.15972     0.75    0.73130    0.00590     6.49      0.24    59.51     42.44   2.47330       6     0.053     3.75      16.49    0.92686
   0.19314     0.70    0.68098    0.00792     4.78      0.15    45.68     33.32   2.83699       5     0.044     3.72      15.77    0.89812
   0.22744     0.65    0.63143    0.01005     4.73      0.15    49.86     28.90   2.32862       5     0.043     3.61      15.78    0.86513
   0.26285     0.60    0.58587    0.01234     4.11      0.12    39.38     24.07   2.40159       4     0.040     3.58      15.75    0.82772
   0.29962     0.55    0.53926    0.01447     3.30      0.09    28.30     19.60   2.82601       4     0.036     3.54      16.06    0.78733
   0.33808     0.50    0.49308    0.01653     3.90      0.11    29.07     19.79   2.38099       4     0.039     3.55      15.98    0.74303
   0.37865     0.45    0.45338    0.01879     3.95      0.11    27.20     19.79   2.47458       4     0.038     3.41      16.03    0.70119
   0.42186     0.40    0.41192    0.02070     5.86      0.20    24.20     18.52   3.57556       6     0.047     3.38      16.16    0.65446
   0.46846     0.35    0.36774    0.02228     6.44      0.24    20.49     18.98   2.51499       6     0.050     3.35      16.32    0.60065
   0.51950     0.30    0.33224    0.02419     6.30      0.23    19.53     19.40   2.37658       6     0.049     3.34      16.34    0.55467
   0.57660     0.25    0.29250    0.02552     8.19      0.33    20.38     26.43   2.21232       7     0.057     3.28      16.58    0.49879
   0.64237     0.20    0.25368    0.02659     8.90      0.38    17.46     24.63   2.63669       8     0.059     3.24      16.74    0.44341
   0.72155     0.15    0.20938    0.02635    10.09      0.46    19.34     35.06   2.24086       9     0.066     3.23      18.37    0.37516
   0.82447     0.10    0.17053    0.02648    17.06      1.00    22.34     47.04   2.88987      13     0.092     3.15      17.99    0.31194
   0.98242     0.05    0.12043    0.02429    20.43      1.31    33.66    105.19   2.05264      15     0.104     3.05      19.59    0.22641
