# system = CH4-gto
# path = examples/gwfn/CH4/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.80296
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.07465     0.95    0.92816    0.00171    29.47      2.27  3179.52      6.29   9.14659      16     1.816    47.29     143.01    1.00000
   0.14960     0.90    0.86224    0.00629    10.37      0.48   480.99      2.70   8.42961       8     0.757    43.57     142.86    1.00000
   0.22514     0.85    0.80158    0.01311     6.30      0.23   289.60      1.38   8.69602       5     0.558    45.47     143.42    1.00000
   0.30160     0.80    0.74638    0.02170     8.23      0.34   142.44      1.03   9.65888       7     0.638    42.82     142.89    1.00000
   0.37933     0.75    0.69789    0.03181     6.88      0.26    98.77      1.15   8.41963       6     0.566    42.25     145.64    0.99999
   0.45871     0.70    0.65408    0.04324     8.23      0.34    73.80      1.10   8.19889       7     0.631    42.08     142.85    0.99996
   0.54019     0.65    0.61295    0.05575    11.36      0.54    58.71      1.26   8.02692       8     0.786    41.50     145.85    0.99994
   0.62428     0.60    0.57484    0.06920    35.52      3.00    49.78      1.24  11.01761      18     1.899    41.39     142.95    0.99994
   0.71162     0.55    0.53848    0.08341    26.12      1.89    41.44      1.16   8.93311      15     1.460    40.97     142.65    0.99987
   0.80296     0.50    0.50382    0.09839    36.78      3.16    37.23      1.15   7.71663      19     1.928    40.67     143.20    0.99952
   0.89930     0.45    0.46974    0.11377    48.58      4.79    28.12      1.11  10.33582      23     2.425    40.27     143.23    0.99908
   1.00193     0.40    0.43775    0.12974    49.36      4.91    25.54      1.12  12.05319      23     2.493    40.82     145.50    0.99800
   1.11260     0.35    0.40420    0.14585    86.40     11.38    22.98      1.04   7.35600      34     3.990    39.71     143.58    0.99627
   1.23385     0.30    0.37115    0.16200    60.55      6.67    20.80      1.05   7.60161      27     2.893    39.46     145.61    0.99254
   1.36946     0.25    0.33651    0.17816    79.43     10.03    18.72      1.14   7.77685      32     3.666    39.34     143.11    0.98653
   1.52565     0.20    0.30179    0.19316   106.89     15.64    15.92      1.07   6.98949      40     4.752    38.83     146.39    0.97604
   1.71372     0.15    0.26559    0.20906   171.06     31.66    15.18      1.08   8.53055      54     7.546    39.97     147.96    0.95861
   1.95815     0.10    0.22415    0.22181    93.48     12.80    14.51      1.17   5.14593      36     4.155    38.38     144.09    0.92492
   2.33328     0.05    0.17456    0.23147   227.07     48.42    16.78      1.56   4.60244      70     9.528    38.21     173.09    0.85561
