# system = H2O-gto
# path = examples/gwfn/H2O/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.59186
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.05502     0.95    0.92801    0.00093    27.49      2.05  3213.40      5.55  18.10882      15     1.201    33.33      97.34    1.00000
   0.11027     0.90    0.86035    0.00341    11.38      0.55  1323.98      2.31  16.66674       8     0.592    32.79      97.52    1.00000
   0.16595     0.85    0.80044    0.00712     5.96      0.21   313.08      1.07  17.62017       5     0.374    32.24      97.01    1.00000
   0.22231     0.80    0.74704    0.01180     7.40      0.29   215.80      1.24  16.38643       6     0.428    31.81      97.04    1.00000
   0.27960     0.75    0.69786    0.01727     7.54      0.30   140.38      1.34  17.44037       6     0.431    31.44      97.52    1.00000
   0.33812     0.70    0.65315    0.02349     9.92      0.45   110.63      1.03  17.71235       7     0.518    31.19      97.18    1.00000
   0.39817     0.65    0.61419    0.03037    10.77      0.50    88.05      1.23  13.94890       8     0.544    30.83      97.23    0.99995
   0.46016     0.60    0.57675    0.03773    12.67      0.64    66.67      1.13  13.40573       9     0.606    30.41      96.94    0.99992
   0.52453     0.55    0.54190    0.04573    14.83      0.81    51.34      1.14  13.52493      10     0.677    30.17      97.02    0.99981
   0.59186     0.50    0.50685    0.05393    26.82      1.97    52.28      1.07  18.09289      15     1.075    29.92      97.03    0.99961
   0.66287     0.45    0.47489    0.06268    26.90      1.98    39.73      1.06  14.05388      15     1.068    29.59      97.18    0.99924
   0.73851     0.40    0.44286    0.07168    41.88      3.84    35.07      1.05  13.87134      20     1.550    29.52      98.28    0.99822
   0.82009     0.35    0.41124    0.08141    25.67      1.85    30.08      1.00  14.00885      15     1.017    29.17      97.22    0.99665
   0.90946     0.30    0.37916    0.09091    43.97      4.13    24.88      1.03  11.79419      21     1.583    28.88      97.28    0.99361
   1.00942     0.25    0.34593    0.10012   101.69     14.52    24.37      1.17  15.18856      37     3.328    28.72      97.51    0.98812
   1.12455     0.20    0.31310    0.11068    85.86     11.27    20.11      1.11  16.90671      33     2.814    28.30      97.46    0.97990
   1.26318     0.15    0.27753    0.12094   116.20     17.72    20.89      1.17  13.68439      41     3.683    28.07      97.39    0.96570
   1.44334     0.10    0.23802    0.13113   100.09     14.18    18.83      1.03  10.36296      37     3.168    27.65      97.33    0.93854
   1.71985     0.05    0.18889    0.14016   223.82     47.38    19.02      1.38  10.83848      64     6.595    27.16      97.78    0.88094
