# system = HF-gto
# path = examples/gwfn/HF/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.49949
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.04644     0.95    0.92949    0.00066    33.30      2.73  2299.09      1.04  23.73986      16     1.192    28.63      74.41    1.00000
   0.09306     0.90    0.86350    0.00244    10.47      0.48  1092.17      3.54  22.55548       7     0.460    27.81      74.47    1.00000
   0.14005     0.85    0.80368    0.00509     7.88      0.32   475.18      1.64  21.92418       6     0.371    27.40      74.56    1.00000
   0.18762     0.80    0.74849    0.00843     5.59      0.19   345.99      1.01  23.96639       5     0.292    27.06      74.45    1.00000
   0.23597     0.75    0.69995    0.01234     7.45      0.29   221.36      1.10  22.78400       6     0.349    26.57      74.51    1.00000
   0.28535     0.70    0.65419    0.01673     8.12      0.33   146.00      1.23  20.83176       6     0.367    26.24      74.12    0.99999
   0.33603     0.65    0.61465    0.02159    11.30      0.54    85.92      1.13  21.97511       8     0.460    25.87      74.12    0.99998
   0.38835     0.60    0.57700    0.02687    11.02      0.52    71.22      1.16  19.84188       8     0.448    25.58      74.07    0.99990
   0.44267     0.55    0.54050    0.03241    19.22      1.20    61.27      1.20  21.99392      11     0.680    25.26      74.10    0.99979
   0.49949     0.50    0.50614    0.03828    17.74      1.06    50.38      1.17  22.79082      11     0.632    24.98      74.14    0.99959
   0.55942     0.45    0.47324    0.04447    19.33      1.21    37.99      1.04  19.80451      12     0.671    24.68      74.11    0.99883
   0.62326     0.40    0.44052    0.05083    26.28      1.91    36.62      1.12  18.88245      14     0.856    24.51      74.25    0.99832
   0.69211     0.35    0.40943    0.05756    55.24      5.82    31.66      1.11  41.65684      24     1.599    24.17      74.09    0.99657
   0.76753     0.30    0.37722    0.06429    29.86      2.32    29.50      1.11  21.72127      16     0.933    23.93      74.15    0.99362
   0.85189     0.25    0.34593    0.07162    49.96      5.00    28.67      1.14  22.62006      22     1.434    23.62      74.20    0.98822
   0.94905     0.20    0.31251    0.07867    49.59      4.94    22.85      1.05  16.47328      22     1.410    23.32      74.38    0.97977
   1.06605     0.15    0.27604    0.08549   165.73     30.19    21.05      1.13  46.15026      51     4.181    23.01      74.17    0.96533
   1.21810     0.10    0.23843    0.09371   135.82     22.41    21.08      1.33  24.33198      45     3.431    22.72      74.18    0.93891
   1.45145     0.05    0.18821    0.09981   227.11     48.42    19.39      1.32  16.42306      63     5.461    22.27      74.27    0.87942
