# system = He-gto
# path = examples/gwfn/He/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.74328
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.06910     0.95    0.94427    0.00149    96.74     13.47   588.57    564.25   0.65371      40     0.509     4.46      20.80    0.99707
   0.13848     0.90    0.88904    0.00557    36.54      3.13   350.59    264.96   0.46623      20     0.196     4.05      16.78    0.98787
   0.20841     0.85    0.83497    0.01178    15.05      0.83   201.28    122.40   0.45761      12     0.100     3.89      19.78    0.97250
   0.27919     0.80    0.78309    0.01960    10.00      0.45   133.99     69.92   0.49879       8     0.068     3.67      15.98    0.95191
   0.35114     0.75    0.73034    0.02844     6.89      0.26    86.21     45.87   0.53789       6     0.067     5.34      15.24    0.92703
   0.42462     0.70    0.67949    0.03836     5.45      0.18    67.34     38.50   0.56693       5     0.046     3.79      14.75    0.89829
   0.50004     0.65    0.63216    0.04875     4.52      0.14    43.92     31.59   0.52890       5     0.038     3.28      14.56    0.86335
   0.57789     0.60    0.58598    0.05936     4.12      0.12    35.21     23.89   0.46866       4     0.038     3.60      14.71    0.83045
   0.65873     0.55    0.54080    0.07045     3.65      0.10    32.73     21.84   0.54691       4     0.035     3.18      15.36    0.78896
   0.74328     0.50    0.50037    0.08156     3.96      0.11    30.85     19.77   0.53306       4     0.035     3.14      14.81    0.75099
   0.83246     0.45    0.45339    0.09074     3.93      0.11    28.39     20.16   0.58068       4     0.035     3.13      14.88    0.70068
   0.92746     0.40    0.41349    0.10084     4.87      0.16    24.79     20.09   0.48608       5     0.039     3.10      14.86    0.65781
   1.02991     0.35    0.37397    0.11023     5.88      0.21    19.69     18.95   0.55421       6     0.044     3.05      16.02    0.60813
   1.14215     0.30    0.33439    0.11819     6.90      0.26    18.46     18.93   0.56982       7     0.046     2.94      15.18    0.55689
   1.26768     0.25    0.29368    0.12429     6.69      0.25    18.94     23.37   0.47641       6     0.047     3.04      15.87    0.50224
   1.41226     0.20    0.25670    0.13065     7.24      0.28    21.41     26.18   0.44632       7     0.050     3.08      15.95    0.44873
   1.58636     0.15    0.21543    0.13343    14.99      0.82    21.02     35.40   1.41319      12     0.075     2.82      15.83    0.38461
   1.81262     0.10    0.17050    0.12867    17.35      1.03    23.48     45.50   0.42287      13     0.088     2.99      16.86    0.31221
   2.15987     0.05    0.12919    0.12849    21.42      1.41    30.93     84.55   0.45608      15     0.095     2.70      17.15    0.24154
