# system = N-gto
# path = examples/gwfn/N/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 7
# optimized step size = 0.55213
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.05133     0.95    0.92823    0.00081    17.17      1.01  3588.20      3.24  13.81984      11     0.394    16.13      45.67    1.00000
   0.10287     0.90    0.86141    0.00297    10.74      0.50   568.88      2.27  11.83528       7     0.292    18.04      41.40    1.00000
   0.15481     0.85    0.79954    0.00617     5.76      0.20   247.98      1.05  11.97390       5     0.164    15.48      37.98    1.00000
   0.20739     0.80    0.74425    0.01023     4.96      0.16   266.83      1.69  11.22933       4     0.146    15.10      37.81    0.99997
   0.26084     0.75    0.69456    0.01494     5.25      0.17   114.10      1.64   9.50480       4     0.150    14.83      37.84    0.99997
   0.31542     0.70    0.65068    0.02029     6.07      0.22   135.36      1.21  10.21094       5     0.177    16.49      37.82    0.99986
   0.37145     0.65    0.60956    0.02618     7.71      0.31    72.75      1.15  10.02880       6     0.206    15.91      39.59    0.99953
   0.42927     0.60    0.57263    0.03259    13.55      0.71    84.12      1.22  10.38981       9     0.291    14.33      40.18    0.99909
   0.48932     0.55    0.53815    0.03953    13.67      0.72    70.67      1.07   9.66167       9     0.287    14.16      38.59    0.99830
   0.55213     0.50    0.50534    0.04687    17.97      1.08    49.46      1.01  27.03327      11     0.353    14.03      38.30    0.99661
   0.61838     0.45    0.47431    0.05494    18.14      1.10    50.11      1.05   7.79433      11     0.350    13.79      37.98    0.99396
   0.68894     0.40    0.44573    0.06339    30.26      2.36    39.47      1.11   7.50616      15     0.529    13.64      38.27    0.99139
   0.76505     0.35    0.41480    0.07201    39.05      3.46    30.75      1.01   8.16412      19     0.664    13.58      41.70    0.98578
   0.84842     0.30    0.38791    0.08212    55.25      5.82    29.63      1.13   8.25704      24     0.890    13.44      41.31    0.97823
   0.94167     0.25    0.35745    0.09197    79.83     10.10    27.75      1.22  18.58276      30     1.198    13.08      37.87    0.96720
   1.04907     0.20    0.32577    0.10257    92.65     12.63    21.90      1.00   9.27895      34     1.385    13.14      39.83    0.94988
   1.17839     0.15    0.29392    0.11458   126.70     20.18    21.04      1.09  15.45504      41     1.789    12.72      37.93    0.92666
   1.34646     0.10    0.25763    0.12770   109.63     16.25    19.12      1.06   8.49028      38     1.541    12.51      38.20    0.89108
   1.60441     0.05    0.20872    0.13990   202.10     40.65    19.37      1.19  18.56645      58     2.711    12.37      40.14    0.82005
