# system = NH3-gto
# path = examples/gwfn/NH3/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.69866
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.06495     0.95    0.92699    0.00129    32.16      2.58  1614.23      5.69  12.36828      17     1.859    44.88     137.63    1.00000
   0.13016     0.90    0.85987    0.00475    12.75      0.65   583.34      1.30  11.37469       9     0.791    40.03     121.68    1.00000
   0.19589     0.85    0.79899    0.00990     6.07      0.22   415.97      1.04  11.90452       5     0.472    39.82     122.37    1.00000
   0.26242     0.80    0.74459    0.01639     7.01      0.27   215.66      1.34  11.85276       6     0.617    49.77     131.70    1.00000
   0.33006     0.75    0.69740    0.02406     7.81      0.31   128.62      1.42  11.24191       6     0.675    48.91     144.30    1.00000
   0.39913     0.70    0.65199    0.03263    10.35      0.47    86.37      1.33  15.29490       7     0.836    50.26     141.56    0.99998
   0.47002     0.65    0.61305    0.04221    19.91      1.26    74.84      1.07  11.85203      12     1.185    41.85     137.21    0.99998
   0.54319     0.60    0.57371    0.05228    13.86      0.74    43.78      1.07  17.35293      10     0.899    41.05     145.70    0.99987
   0.61918     0.55    0.53998    0.06336    47.65      4.66    41.85      1.21  20.20626      21     2.668    46.01     138.79    0.99983
   0.69866     0.50    0.50657    0.07504    22.31      1.50    35.37      1.23   8.76889      13     1.463    47.32     152.96    0.99962
   0.78248     0.45    0.47258    0.08677    65.96      7.58    31.43      1.08  20.05975      27     3.186    41.12     125.60    0.99907
   0.87178     0.40    0.44064    0.09943    34.99      2.94    31.23      1.19  10.43594      18     1.632    36.24     120.48    0.99810
   0.96808     0.35    0.40926    0.11213    49.32      4.91    29.26      1.06  11.33097      23     2.176    35.96     120.36    0.99640
   1.07357     0.30    0.37704    0.12538    80.69     10.26    22.87      1.12  12.32116      32     3.356    35.77     120.56    0.99343
   1.19157     0.25    0.34282    0.13830   103.34     14.87    23.17      1.08  10.03038      38     4.163    35.39     120.53    0.98789
   1.32747     0.20    0.30832    0.15071   105.29     15.29    18.38      1.14   9.72491      38     4.199    35.06     120.46    0.97885
   1.49111     0.15    0.27294    0.16419    88.74     11.83    17.63      1.07   9.21019      34     3.558    34.70     120.31    0.96287
   1.70379     0.10    0.23264    0.17674   172.85     32.16    16.67      1.27   7.46732      54     6.551    34.48     120.48    0.93265
   2.03019     0.05    0.18372    0.18797   430.96    126.54    20.19      1.03  15.84247      99    15.370    33.84     120.37    0.86991
