# system = Ne-gto
# path = examples/gwfn/Ne/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.41808
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.03887     0.95    0.93134    0.00046    28.93      2.21  2358.38      4.17  35.87280      14     0.862    23.91      52.79    1.00000
   0.07789     0.90    0.86695    0.00172    13.52      0.71   881.25      2.56  30.62329       8     0.462    24.06      53.27    1.00000
   0.11722     0.85    0.80807    0.00359     8.16      0.33   330.47      1.96  28.80982       6     0.304    23.02      52.88    1.00000
   0.15704     0.80    0.75268    0.00593     5.95      0.21   324.06      1.09  38.81755       5     0.242    22.68      53.39    1.00000
   0.19751     0.75    0.70518    0.00873     6.47      0.24   161.90      1.00  32.62507       5     0.252    22.16      53.63    1.00000
   0.23884     0.70    0.65792    0.01179     6.61      0.25   127.81      1.30  29.61376       5     0.254    21.72      54.31    1.00000
   0.28126     0.65    0.61828    0.01524    10.42      0.48    99.98      1.15  36.12249       7     0.345    21.43      52.93    0.99998
   0.32505     0.60    0.57889    0.01887    14.31      0.77    76.44      1.30  35.16634       9     0.434    21.03      52.80    0.99993
   0.37052     0.55    0.54239    0.02274    15.79      0.89    55.77      1.18  34.16485      10     0.464    20.77      52.57    0.99981
   0.41808     0.50    0.50857    0.02695    13.39      0.70    58.72      1.04  31.20075       9     0.404    20.48      52.72    0.99951
   0.46824     0.45    0.47384    0.03119    40.50      3.65    47.01      1.00  42.44835      18     0.999    20.22      52.79    0.99904
   0.52167     0.40    0.44230    0.03573    20.68      1.34    38.79      1.04  24.64975      12     0.559    19.96      52.88    0.99812
   0.57930     0.35    0.40913    0.04025    28.66      2.18    31.38      1.03  85.37986      15     0.724    19.66      52.84    0.99628
   0.64243     0.30    0.37828    0.04521    36.55      3.13    28.62      1.08  28.99403      17     0.881    19.40      52.89    0.99373
   0.71304     0.25    0.34484    0.04979    30.78      2.42    29.98      1.00  28.76302      16     0.751    19.12      52.84    0.98796
   0.79436     0.20    0.31251    0.05510   178.40     33.73    25.07      1.16  54.45585      51     3.659    18.93      52.86    0.98023
   0.89228     0.15    0.27681    0.06014    76.39      9.45    24.93      1.13  24.31031      29     1.630    18.55      52.84    0.96546
   1.01955     0.10    0.23759    0.06522    65.96      7.58    24.80      1.19  37.47154      26     1.399    18.15      52.80    0.93702
   1.21487     0.05    0.18816    0.06993   106.20     15.48    20.26      1.11  20.65827      37     2.119    17.75      53.07    0.87786
