# system = O3-gto
# path = examples/gwfn/O3/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 24
# optimized step size = 0.50373
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.04683     0.95    0.92958    0.00067    33.08      2.70  3009.73      5.00  53.05579      17     5.376   126.26     396.53    1.00000
   0.09385     0.90    0.86253    0.00248    11.89      0.58   507.49      2.28  50.08901       9     2.364   123.82     398.93    1.00000
   0.14124     0.85    0.80154    0.00515     7.50      0.29   425.39      1.07  46.93697       6     1.692   121.80     397.13    1.00000
   0.18921     0.80    0.74740    0.00855     5.54      0.19   232.66      1.46  51.91517       5     1.382   120.14     397.04    1.00000
   0.23797     0.75    0.69739    0.01249     6.37      0.23   160.77      1.38  49.49604       6     1.499   118.61     397.01    1.00000
   0.28777     0.70    0.65258    0.01696     8.05      0.33   118.47      1.12  48.31150       7     1.733   117.41     396.93    1.00000
   0.33888     0.65    0.61165    0.02185     9.69      0.43    88.93      1.05  49.26931       8     1.952   116.14     396.92    1.00000
   0.39164     0.60    0.57372    0.02717    13.73      0.72    73.98      1.10  50.61293      10     2.480   114.80     397.11    1.00000
   0.44643     0.55    0.53868    0.03288    16.82      0.98    52.46      1.03  42.44409      11     2.866   113.67     397.37    1.00000
   0.50373     0.50    0.50501    0.03892    26.07      1.89    46.18      1.15  65.64454      15     4.018   112.69     396.86    1.00000
   0.56417     0.45    0.47333    0.04534    23.53      1.62    38.94      1.14  49.18974      14     3.680   111.93     396.58    1.00000
   0.62855     0.40    0.44294    0.05217    50.60      5.11    32.48      1.06  67.57200      24     6.919   110.81     396.84    1.00000
   0.69798     0.35    0.41243    0.05927    32.04      2.58    31.97      1.01  53.11274      17     4.658   109.78     397.39    1.00000
   0.77404     0.30    0.38224    0.06670    45.97      4.41    23.14      1.05  49.02228      22     6.274   108.95     396.35    0.99999
   0.85912     0.25    0.35041    0.07436    54.25      5.66    20.77      1.08  42.34123      25     7.177   107.80     396.98    0.99998
   0.95710     0.20    0.31919    0.08258    62.39      6.99    21.57      1.08  46.09216      27     8.060   107.02     395.92    0.99996
   1.07509     0.15    0.28555    0.09140   109.97     16.32    17.42      1.01  35.98488      40    13.274   105.72     397.12    0.99971
   1.22843     0.10    0.24747    0.10073   154.59     27.19    15.40      1.12  50.00500      51    18.036   104.84     396.53    0.99898
   1.46376     0.05    0.20046    0.11087   134.76     22.14    14.33      1.15  46.72020      47    15.614   102.96     395.80    0.99555
