#       Slater       Jastrow      Backflow    Jastrow varmin    Backflow varmin    Jastrow dmc    Backflow dmc
He     9     38     11     42     19     96      107    179         56       96      30    117
Be    19     55     25     69     47    207      271    345        288      639      81    216
 N    37     74     51    122    147    455      590    903        847      577     173    395
Ne    54    101     77    190    249    722      639   1000       1294     1124     281    614
Ar   129    192    205    482    796   2140     1408   3425       4105     4247     807   1754
O3   368    411    554   1167   1931   6557     4214   7205      25423    20232    2865   4328
Kr   486    553    740   1690   3515   9178     4300  11956      18484    38187    3023   5299

# a1 = 1.04862 +/- 0.02509      (2.393%)
# b1 = 38.3452 +/- 5.945        (15.51%)

# a2 = 2.29112 +/- 0.02104      (0.9185%)
# b2 = 13.4099 +/- 7.57         (56.45%)

# a3 = 2.71873 +/- 0.177        (6.51%)
# b3 = 217.661 +/- 274.2        (126%)

# a4 = 2.36228 +/- 0.3017       (12.77%)
# b4 = -102.111 +/- 712.7        (698%)

# a5 = 1.23070 +/- 0.3354       (27.26%)
# b5 = 1.41353 +/- 4024         (2.847e+05%)

# a6 = 1.59668 +/- 0.08377      (5.247%)
# b6 = 161.585 +/- 134.8        (83.4%)
