# system = Ar-gto
# path = examples/gwfn/Ar/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 18
# approximate DTVMC = 0.00047
# optimized DTVMC = 0.00051
# kinetic energy = 523.45278 +/- 1.08985
# kinetic energy KEI = 527.18690 +/- 0.46672
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00000     0.95    0.94768     1.03262   1.03580   0.00022   0.99997    78.884
   0.00002     0.90    0.89585     1.03723   1.04320   0.00156   0.99994    37.451
   0.00004     0.85    0.84476     1.04367   1.06798   0.00652   1.00041    33.374
   0.00007     0.80    0.79316     1.04405   1.08025   0.01353   0.99947    18.387
   0.00011     0.75    0.74316     1.05079   1.10204   0.02918   1.00087    16.480
   0.00017     0.70    0.69230     1.05212   1.10911   0.04603   0.99905    11.499
   0.00023     0.65    0.64268     1.05683   1.10854   0.06836   0.99892     8.535
   0.00031     0.60    0.59507     1.06612   1.10364   0.09929   1.00601     6.508
   0.00040     0.55    0.54776     1.07452   1.10572   0.14290   0.99990     6.145
   0.00051     0.50    0.50020     1.08107   1.10378   0.19091   1.00250     4.725
   0.00064     0.45    0.45482     1.09215   1.09106   0.24789   0.99932     4.123
   0.00079     0.40    0.40820     1.09958   1.07961   0.31160   0.99926     3.385
   0.00097     0.35    0.36435     1.11330   1.06623   0.40002   0.98627     2.959
   0.00120     0.30    0.31906     1.12399   1.05317   0.50133   0.99993     2.439
   0.00148     0.25    0.27607     1.14123   1.02563   0.61436   0.98707     2.017
   0.00183     0.20    0.23186     1.15826   1.00136   0.76595   1.05994     1.738
   0.00231     0.15    0.18771     1.18076   0.96108   0.92437   0.97169     1.369
   0.00302     0.10    0.14227     1.21124   0.90952   1.13655   0.95647     1.048
   0.00428     0.05    0.09439     1.26616   0.83251   1.47967   1.39878     0.751
