# system = Ar-sto
# path = examples/stowfn/Ar/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 18
# approximate DTVMC = 4.73970e-04
# optimized DTVMC = 5.01740e-04
# kinetic energy = 528.11882 +/- 2.17039
# kinetic energy KEI = 527.38469 +/- 0.47329
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.33668e-06     0.95    0.94824     1.04250   1.02230   0.00027   1.00003    74.960
 1.74153e-05     0.90    0.89709     1.04858   1.03621   0.00211   1.00025    52.175
 3.94454e-05     0.85    0.84524     1.04568   1.05496   0.00558   0.99976    22.618
 7.07881e-05     0.80    0.79376     1.04593   1.07539   0.01328   1.00040    19.638
 1.11977e-04     0.75    0.74392     1.05278   1.08985   0.02723   0.99944    14.721
 1.63747e-04     0.70    0.69515     1.06124   1.07921   0.04229   0.99808    10.812
 2.27083e-04     0.65    0.64532     1.06405   1.09271   0.06768   1.00736     8.903
 3.03288e-04     0.60    0.59706     1.07067   1.09528   0.09878   0.99774     7.333
 3.94078e-04     0.55    0.54949     1.07792   1.09237   0.13712   0.99911     5.908
 5.01740e-04     0.50    0.50265     1.08601   1.09774   0.19210   1.00014     5.058
 6.29361e-04     0.45    0.45682     1.09572   1.08017   0.24051   1.00822     4.145
 7.81199e-04     0.40    0.41119     1.10535   1.07182   0.31031   0.99587     3.531
 9.63319e-04     0.35    0.36505     1.11363   1.06734   0.40171   0.98690     2.935
 1.18471e-03     0.30    0.32133     1.12796   1.04683   0.50136   1.00015     2.744
 1.45945e-03     0.25    0.27708     1.14230   1.01821   0.59967   0.98731     2.096
 1.81134e-03     0.20    0.23446     1.16338   0.99087   0.75016   1.60460     1.749
 2.28544e-03     0.15    0.19142     1.18931   0.95764   0.94509   1.04441     1.410
 2.98389e-03     0.10    0.14449     1.21657   0.90237   1.12641   0.93158     1.082
 4.23667e-03     0.05    0.09433     1.26445   0.82940   1.45133   0.80783     0.764
