# system = B-pp
# path = examples/ppotential_HF/B/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 3
# approximate DTVMC = 1.25218e-01
# optimized DTVMC = 2.33041e-01
# kinetic energy = 1.27022 +/- 0.00548
# kinetic energy KEI = 1.27655 +/- 0.00119
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 2.01424e-03     0.95    0.94714     1.07903   1.08066   0.00084   1.00003   320.986
 8.08883e-03     0.90    0.89454     1.08135   1.11335   0.00477   0.99986    74.666
 1.83210e-02     0.85    0.84221     1.08377   1.15925   0.01577   1.00007    48.187
 3.28787e-02     0.80    0.79115     1.09137   1.16299   0.03181   0.99893    33.109
 5.20093e-02     0.75    0.73957     1.09344   1.16650   0.05453   0.99983    20.196
 7.60548e-02     0.70    0.68972     1.10102   1.16187   0.08564   1.00156    15.071
 1.05472e-01     0.65    0.64107     1.11033   1.13479   0.11654   0.99862    11.097
 1.40867e-01     0.60    0.59290     1.11891   1.11442   0.15565   1.00016     8.791
 1.83036e-01     0.55    0.54553     1.12811   1.09611   0.20341   1.00817     6.907
 2.33041e-01     0.50    0.49903     1.13819   1.06249   0.24531   0.99319     5.374
 2.92317e-01     0.45    0.45425     1.15154   1.02533   0.29143   1.00877     3.999
 3.62840e-01     0.40    0.40902     1.16286   0.99454   0.34429   1.00049     3.344
 4.47429e-01     0.35    0.36498     1.17686   0.95912   0.39767   0.98756     2.667
 5.50256e-01     0.30    0.32273     1.19563   0.92247   0.46602   1.00514     2.163
 6.77863e-01     0.25    0.27911     1.21246   0.88638   0.53352   0.98847     1.604
 8.41307e-01     0.20    0.23599     1.23365   0.84881   0.61853   1.00984     1.222
 1.06151e+00     0.15    0.19354     1.26302   0.81066   0.75075   1.04708     0.951
 1.38592e+00     0.10    0.14698     1.29382   0.76513   0.89742   0.97482     0.659
 1.96779e+00     0.05    0.09691     1.34690   0.70943   1.20668   0.84242     0.406
