# system = B2H6-gto
# path = examples/gwfn/B2H6/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 16
# approximate DTVMC = 0.00456
# optimized DTVMC = 0.00464
# kinetic energy = 53.05822 +/- 0.13525
# kinetic energy KEI = 53.02687 +/- 0.04578
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00004     0.95    0.94842     1.00872   0.99846  -0.00002   0.99995     4.012
   0.00016     0.90    0.89727     1.01279   0.99155   0.00016   0.99994     4.105
   0.00036     0.85    0.84588     1.01245   0.99768   0.00071   0.99987     4.116
   0.00065     0.80    0.79501     1.01472   0.99707   0.00204   1.00015     4.015
   0.00104     0.75    0.74471     1.01828   0.99090   0.00345   1.00046     2.163
   0.00152     0.70    0.69438     1.02046   0.99034   0.00595   0.99971     1.810
   0.00210     0.65    0.64536     1.02598   0.98601   0.01074   1.00075     1.548
   0.00281     0.60    0.59631     1.03014   0.98002   0.01528   0.99939     2.101
   0.00365     0.55    0.54826     1.03607   0.97778   0.02479   0.99904     1.355
   0.00464     0.50    0.50008     1.04078   0.97327   0.03541   1.00342     1.239
   0.00582     0.45    0.45274     1.04690   0.96265   0.04529   0.99664     1.374
   0.00723     0.40    0.40534     1.05246   0.95543   0.06036   1.00354     1.034
   0.00891     0.35    0.36055     1.06365   0.93746   0.07682   1.00001     0.791
   0.01096     0.30    0.31409     1.07135   0.92929   0.10345   1.09237     0.764
   0.01350     0.25    0.26812     1.08093   0.91684   0.13674   0.98808     0.741
   0.01676     0.20    0.22273     1.09372   0.89834   0.17358   1.02385     0.596
   0.02115     0.15    0.17658     1.10849   0.88493   0.25456   0.99188     0.586
   0.02761     0.10    0.12972     1.12963   0.86044   0.35664   1.14158     0.444
   0.03920     0.05    0.08073     1.16778   0.82217   0.58752   0.90750     0.390
