# system = Be-gto
# path = examples/gwfn/Be/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 0.01744
# optimized DTVMC = 0.01788
# kinetic energy = 14.58327 +/- 0.00905
# kinetic energy KEI = 14.65792 +/- 0.02194
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00015     0.95    0.94708     1.01157   0.98376   0.00010   1.00010     0.344
   0.00062     0.90    0.89386     1.00848   1.01103   0.00065   1.00008    35.231
   0.00141     0.85    0.84170     1.01396   0.98313   0.00036   1.00001     1.380
   0.00252     0.80    0.78999     1.01864   0.98706   0.00227   1.00055     2.078
   0.00399     0.75    0.73924     1.02505   0.97339   0.00273   0.99985     1.686
   0.00584     0.70    0.68981     1.03378   0.96189   0.00553   0.99937     1.948
   0.00809     0.65    0.64158     1.04381   0.94469   0.00859   1.00045     1.127
   0.01081     0.60    0.59377     1.05278   0.93018   0.01186   0.99888     1.395
   0.01405     0.55    0.54739     1.06383   0.91418   0.01775   0.99934     1.048
   0.01788     0.50    0.50185     1.07543   0.89951   0.02616   1.00361     1.055
   0.02243     0.45    0.45663     1.08662   0.88086   0.03133   0.99338     0.898
   0.02785     0.40    0.41373     1.10258   0.86464   0.04991   0.99356     0.879
   0.03434     0.35    0.37077     1.11811   0.84311   0.06397   0.99707     0.806
   0.04223     0.30    0.32908     1.13714   0.82607   0.09630   1.00350     0.742
   0.05202     0.25    0.28686     1.15657   0.80588   0.13208   0.98894     0.749
   0.06457     0.20    0.24519     1.18085   0.77796   0.17481   0.99579     0.602
   0.08146     0.15    0.20238     1.20917   0.75332   0.25499   0.98188     0.583
   0.10636     0.10    0.15846     1.24891   0.72411   0.39795   1.04192     0.534
   0.15102     0.05    0.10839     1.30724   0.67901   0.64009   0.97385     0.425
