# system = Be-sto
# path = examples/stowfn/Be/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 1.74388e-02
# optimized DTVMC = 1.83809e-02
# kinetic energy = 14.48103 +/- 0.01016
# kinetic energy KEI = 14.45642 +/- 0.02084
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.58871e-04     0.95    0.94627     1.00663   0.99361  -0.00007   0.99990     7.442
 6.37999e-04     0.90    0.89263     1.00710   0.99947   0.00021   1.00002     3.269
 1.44506e-03     0.85    0.84002     1.01340   0.99173   0.00071   0.99991     2.602
 2.59328e-03     0.80    0.78762     1.01726   0.99085   0.00247   1.00040     3.361
 4.10219e-03     0.75    0.73657     1.02463   0.97139   0.00226   0.99977     1.768
 5.99875e-03     0.70    0.68676     1.03362   0.95749   0.00460   0.99994     1.382
 8.31904e-03     0.65    0.63850     1.04481   0.94124   0.00766   0.99933     1.635
 1.11107e-02     0.60    0.59019     1.05330   0.93192   0.01308   0.99850     1.434
 1.44368e-02     0.55    0.54293     1.06283   0.91889   0.02016   1.00146     1.130
 1.83809e-02     0.50    0.49732     1.07502   0.90019   0.02715   0.99950     1.155
 2.30562e-02     0.45    0.45278     1.08841   0.87907   0.03288   0.99462     0.796
 2.86187e-02     0.40    0.40906     1.10281   0.86595   0.05315   1.00059     0.892
 3.52905e-02     0.35    0.36769     1.12229   0.84669   0.08053   1.00144     0.812
 4.34010e-02     0.30    0.32446     1.13784   0.82768   0.10421   1.02103     0.768
 5.34658e-02     0.25    0.28215     1.15703   0.80421   0.13425   0.98515     0.712
 6.63573e-02     0.20    0.24159     1.18385   0.78161   0.19564   1.00573     0.588
 8.37258e-02     0.15    0.19880     1.21184   0.75252   0.26660   0.97528     0.588
 1.09313e-01     0.10    0.15507     1.25140   0.72377   0.41396   0.97538     0.524
 1.55208e-01     0.05    0.10551     1.30979   0.67732   0.65981   1.01439     0.433
