# system = Be2+-gto
# path = examples/gwfn/Be²⁺/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 0.01744
# optimized DTVMC = 0.01930
# kinetic energy = 13.61048 +/- 0.00062
# kinetic energy KEI = 13.54028 +/- 0.01969
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00017     0.95    0.94638     1.00176   0.99688   0.00002   1.00002     0.006
   0.00067     0.90    0.89302     1.00404   0.99064  -0.00018   0.99981     0.002
   0.00152     0.85    0.84013     1.00733   0.98571   0.00006   1.00005     0.004
   0.00272     0.80    0.78856     1.01507   0.96997  -0.00041   0.99945     0.003
   0.00431     0.75    0.73777     1.02261   0.95578  -0.00008   0.99997     0.004
   0.00630     0.70    0.68875     1.03362   0.93645   0.00057   1.00098     0.005
   0.00873     0.65    0.63911     1.03971   0.92127  -0.00135   0.99882    -0.002
   0.01166     0.60    0.59194     1.05117   0.90487  -0.00037   0.99973     0.006
   0.01515     0.55    0.54608     1.06400   0.88264  -0.00171   0.99684     0.002
   0.01930     0.50    0.50139     1.07798   0.86513   0.00378   1.00314     0.005
   0.02420     0.45    0.45618     1.08928   0.84567   0.00174   0.99770     0.006
   0.03004     0.40    0.41412     1.10732   0.82183   0.00703   1.00299     0.010
   0.03705     0.35    0.37053     1.12141   0.80131   0.00682   1.00297     0.014
   0.04556     0.30    0.32846     1.13959   0.77737   0.01255   1.00414     0.019
   0.05613     0.25    0.28677     1.16034   0.75269   0.02077   0.98927     0.012
   0.06966     0.20    0.24572     1.18626   0.72519   0.03670   1.02957     0.020
   0.08789     0.15    0.20467     1.21949   0.69558   0.07515   0.99181     0.023
   0.11475     0.10    0.16040     1.25905   0.66106   0.13611   0.99446     0.027
   0.16293     0.05    0.11045     1.31937   0.61727   0.27876   1.19504     0.038
