# system = C-pp
# path = examples/ppotential_HF/C/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 5.70873e-02
# optimized DTVMC = 9.69052e-02
# kinetic energy = 3.28701 +/- 0.01607
# kinetic energy KEI = 3.32175 +/- 0.00262
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.37578e-04     0.95    0.94670     1.11006   1.09918   0.00109   1.00001   371.499
 3.36357e-03     0.90    0.89303     1.10587   1.18717   0.00781   1.00000    98.414
 7.61841e-03     0.85    0.84152     1.11922   1.18130   0.02094   1.00034    53.788
 1.36719e-02     0.80    0.78763     1.11286   1.23874   0.04621   0.99970    32.680
 2.16270e-02     0.75    0.73808     1.12759   1.21976   0.07878   1.00276    24.300
 3.16257e-02     0.70    0.68750     1.13356   1.22821   0.12430   0.99821    17.453
 4.38584e-02     0.65    0.63735     1.13905   1.19943   0.16831   1.00961    12.086
 5.85764e-02     0.60    0.58866     1.14751   1.18188   0.22696   0.99711     9.906
 7.61115e-02     0.55    0.54237     1.16107   1.13148   0.27638   1.00537     7.557
 9.69052e-02     0.50    0.49621     1.17296   1.09741   0.34036   1.02971     5.880
 1.21554e-01     0.45    0.45199     1.18856   1.05191   0.40352   1.00382     4.932
 1.50879e-01     0.40    0.40749     1.20237   1.01054   0.46872   1.00989     3.956
 1.86054e-01     0.35    0.36396     1.21821   0.96049   0.52548   0.97838     2.955
 2.28812e-01     0.30    0.32081     1.23536   0.91421   0.58934   0.97148     2.398
 2.81875e-01     0.25    0.27975     1.25940   0.86354   0.65538   0.98767     1.855
 3.49839e-01     0.20    0.23723     1.28308   0.81678   0.73744   0.98119     1.464
 4.41407e-01     0.15    0.19344     1.30990   0.76644   0.81959   0.95521     1.099
 5.76303e-01     0.10    0.14979     1.35145   0.70834   0.94513   1.04894     0.803
 8.18263e-01     0.05    0.09913     1.40642   0.64195   1.13522   0.90495     0.501
