# system = C2H2-gto
# path = examples/gwfn/C2H2/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 14
# approximate DTVMC = 0.00311
# optimized DTVMC = 0.00317
# kinetic energy = 76.84664 +/- 0.17210
# kinetic energy KEI = 76.73427 +/- 0.06685
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00003     0.95    0.94884     1.01202   0.99786  -0.00000   0.99996     9.040
   0.00011     0.90    0.89757     1.01080   1.01255   0.00032   0.99985     9.243
   0.00025     0.85    0.84685     1.01392   1.00652   0.00120   1.00009     4.282
   0.00045     0.80    0.79625     1.01604   1.00899   0.00280   1.00003     7.058
   0.00071     0.75    0.74630     1.01989   1.00439   0.00522   0.99949     3.432
   0.00104     0.70    0.69640     1.02258   1.00815   0.01021   0.99940     3.781
   0.00144     0.65    0.64736     1.02720   1.00487   0.01639   1.00189     3.006
   0.00192     0.60    0.59943     1.03389   0.99895   0.02594   1.00028     2.276
   0.00249     0.55    0.55039     1.03653   0.99576   0.03413   0.99602     2.323
   0.00317     0.50    0.50377     1.04468   0.98330   0.04634   0.99856     1.850
   0.00398     0.45    0.45544     1.04804   0.98286   0.06563   1.00101     1.642
   0.00494     0.40    0.41025     1.05836   0.97355   0.09128   0.99902     1.453
   0.00609     0.35    0.36511     1.06857   0.95648   0.11430   0.99666     1.234
   0.00749     0.30    0.31826     1.07535   0.95182   0.15330   0.99810     1.168
   0.00923     0.25    0.27352     1.08784   0.93721   0.20263   1.01240     0.959
   0.01146     0.20    0.22907     1.10334   0.92035   0.27058   0.99957     0.892
   0.01446     0.15    0.18366     1.12113   0.89976   0.36253   1.02982     0.766
   0.01888     0.10    0.13588     1.14212   0.87863   0.51346   0.99143     0.624
   0.02680     0.05    0.08471     1.17724   0.83209   0.73144   0.94340     0.465
