# system = C4H4-gto
# path = examples/gwfn/C4H4/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 28
# approximate DTVMC = 1.52255e-03
# optimized DTVMC = 1.54367e-03
# kinetic energy = 153.01292 +/- 0.09907
# kinetic energy KEI = 152.41600 +/- 0.09489
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.33424e-05     0.95    0.94982     1.01538   0.97608  -0.00002   0.99998     0.191
 5.35807e-05     0.90    0.89892     1.00808   1.00826   0.00034   1.00006     5.818
 1.21359e-04     0.85    0.84840     1.00812   1.01023   0.00084   1.00002     3.115
 2.17789e-04     0.80    0.79839     1.01068   1.00953   0.00220   1.00002     3.354
 3.44511e-04     0.75    0.74712     1.00699   1.02273   0.00450   0.99967     2.879
 5.03789e-04     0.70    0.69876     1.01460   1.01019   0.00727   0.99937     2.618
 6.98653e-04     0.65    0.64896     1.01577   1.01846   0.01441   1.00076     2.485
 9.33106e-04     0.60    0.59982     1.01851   1.01274   0.01945   1.00001     1.927
 1.21244e-03     0.55    0.55130     1.02234   1.00705   0.02583   0.99941     1.586
 1.54367e-03     0.50    0.50255     1.02511   1.00703   0.03642   0.99670     1.476
 1.93632e-03     0.45    0.45345     1.02681   1.00449   0.04864   0.99588     1.273
 2.40347e-03     0.40    0.40694     1.03417   1.00083   0.07115   1.00496     1.104
 2.96378e-03     0.35    0.35817     1.03645   0.99839   0.09280   1.00554     1.057
 3.64492e-03     0.30    0.31197     1.04455   0.99345   0.13154   0.99801     0.930
 4.49019e-03     0.25    0.26394     1.04932   0.98078   0.15520   0.97880     0.772
 5.57285e-03     0.20    0.21801     1.06015   0.97352   0.22289   0.95979     0.731
 7.03149e-03     0.15    0.17061     1.07055   0.95745   0.29215   1.01408     0.639
 9.18035e-03     0.10    0.12101     1.08099   0.94840   0.41861   0.97781     0.486
 1.30347e-02     0.05    0.07208     1.11045   0.91696   0.66987   1.00273     0.387
