# system = CH4-gto
# path = examples/gwfn/CH4/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 0.00619
# optimized DTVMC = 0.00641
# kinetic energy = 40.31862 +/- 0.06012
# kinetic energy KEI = 40.34717 +/- 0.04817
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00006     0.95    0.94769     1.01852   0.98364   0.00001   0.99999     5.985
   0.00022     0.90    0.89482     1.01286   1.01703   0.00058   1.00002     8.621
   0.00050     0.85    0.84298     1.01744   1.01209   0.00143   0.99930    10.508
   0.00090     0.80    0.79193     1.02342   1.00321   0.00344   0.99955     4.705
   0.00143     0.75    0.74163     1.02991   0.99808   0.00734   0.99876     5.800
   0.00209     0.70    0.69135     1.03423   0.99384   0.01228   0.99953     3.737
   0.00290     0.65    0.64331     1.04422   0.99091   0.02264   1.00033     3.988
   0.00387     0.60    0.59468     1.05030   0.97524   0.02899   0.99914     2.816
   0.00503     0.55    0.54843     1.06146   0.95785   0.03965   0.99661     2.254
   0.00641     0.50    0.50121     1.06867   0.96001   0.06262   1.00305     2.177
   0.00804     0.45    0.45636     1.08077   0.95090   0.09086   1.01890     2.011
   0.00998     0.40    0.41138     1.09181   0.93957   0.12023   0.99898     1.756
   0.01230     0.35    0.36623     1.10226   0.91987   0.14483   0.99265     1.515
   0.01513     0.30    0.32338     1.11843   0.90442   0.19497   1.04221     1.290
   0.01864     0.25    0.28019     1.13517   0.88407   0.24913   0.98881     1.211
   0.02313     0.20    0.23501     1.14999   0.86283   0.30968   0.99339     1.009
   0.02918     0.15    0.19278     1.17785   0.83664   0.42889   1.00841     0.899
   0.03810     0.10    0.14718     1.20923   0.80387   0.57912   1.01964     0.721
   0.05410     0.05    0.09753     1.26055   0.75415   0.85692   0.91116     0.539
