# system = F-pp
# path = examples/ppotential_HF/F/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 1.18237e-02
# optimized DTVMC = 1.66735e-02
# kinetic energy = 18.42974 +/- 0.12160
# kinetic energy KEI = 18.62173 +/- 0.01086
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.44113e-04     0.95    0.94706     1.09757   1.18102   0.00112   0.99993   190.670
 5.78734e-04     0.90    0.89583     1.11553   1.14134   0.00619   0.99969   110.714
 1.31082e-03     0.85    0.84361     1.11422   1.22615   0.02133   1.00036    48.083
 2.35238e-03     0.80    0.79386     1.12689   1.22672   0.04456   0.99911    35.562
 3.72113e-03     0.75    0.74220     1.12589   1.27545   0.08381   1.00006    25.338
 5.44151e-03     0.70    0.69309     1.13476   1.27445   0.13118   1.00172    18.730
 7.54627e-03     0.65    0.64332     1.13894   1.27861   0.19140   0.99454    14.123
 1.00786e-02     0.60    0.59537     1.14767   1.26140   0.25939   0.99719    10.628
 1.30957e-02     0.55    0.54870     1.15851   1.24276   0.34277   1.01506     8.490
 1.66735e-02     0.50    0.50074     1.16431   1.22719   0.43748   1.00335     6.822
 2.09145e-02     0.45    0.45679     1.17990   1.18192   0.52602   0.99115     5.789
 2.59603e-02     0.40    0.41267     1.19408   1.14764   0.63747   1.00004     4.585
 3.20123e-02     0.35    0.36775     1.20602   1.10408   0.74302   0.98207     3.795
 3.93694e-02     0.30    0.32503     1.22399   1.05659   0.86121   1.04184     3.074
 4.84993e-02     0.25    0.28514     1.25090   0.99383   0.97535   1.02202     2.493
 6.01932e-02     0.20    0.24016     1.26812   0.94254   1.10194   0.98380     2.003
 7.59483e-02     0.15    0.19608     1.29419   0.87847   1.23037   0.98329     1.604
 9.91585e-02     0.10    0.15085     1.33083   0.80273   1.37198   1.06876     1.194
 1.40790e-01     0.05    0.10034     1.38633   0.71048   1.56659   0.87273     0.816
