# system = H-pp
# path = examples/ppotential_HF/H/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 1
# approximate DTVMC = 4.96802e-01
# optimized DTVMC = 5.80021e-01
# kinetic energy = 0.49848 +/- 0.00003
# kinetic energy KEI = 0.49602 +/- 0.00089
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 5.01328e-03     0.95    0.94385     1.00372   0.99346  -0.00002   0.99998     0.008
 2.01324e-02     0.90    0.88803     1.00618   0.98800  -0.00010   0.99991     0.004
 4.55995e-02     0.85    0.83383     1.01629   0.97012   0.00011   1.00007     0.005
 8.18323e-02     0.80    0.78070     1.02594   0.95034  -0.00047   0.99950     0.014
 1.29447e-01     0.75    0.72941     1.03852   0.92966  -0.00021   0.99937     0.026
 1.89294e-01     0.70    0.68010     1.05358   0.90506   0.00038   0.99987     0.031
 2.62512e-01     0.65    0.63237     1.06938   0.88246   0.00180   1.00006     0.035
 3.50606e-01     0.60    0.58634     1.08650   0.85659   0.00263   0.99906     0.036
 4.55561e-01     0.55    0.54165     1.10422   0.83292   0.00439   0.99761     0.053
 5.80021e-01     0.50    0.49933     1.12566   0.80711   0.00992   0.99976     0.064
 7.27552e-01     0.45    0.45845     1.14872   0.78308   0.02008   1.00205     0.076
 9.03080e-01     0.40    0.41800     1.17159   0.75827   0.02992   0.99542     0.064
 1.11361e+00     0.35    0.37960     1.19922   0.73636   0.05614   1.01176     0.078
 1.36954e+00     0.30    0.34042     1.22570   0.71381   0.08314   0.99384     0.081
 1.68714e+00     0.25    0.30414     1.26210   0.68907   0.13338   0.99365     0.084
 2.09394e+00     0.20    0.26607     1.29913   0.66591   0.20281   0.99324     0.085
 2.64201e+00     0.15    0.22617     1.34098   0.63918   0.29846   0.99667     0.096
 3.44943e+00     0.10    0.18566     1.40112   0.61331   0.49838   1.00385     0.105
 4.89766e+00     0.05    0.13963     1.49590   0.58256   0.95497   0.91887     0.179
