# system = H2O-gto
# path = examples/gwfn/H2O/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 0.00326
# optimized DTVMC = 0.00350
# kinetic energy = 76.11381 +/- 0.14586
# kinetic energy KEI = 76.40110 +/- 0.08663
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00003     0.95    0.94610     1.00435   1.03428   0.00005   0.99997    20.329
   0.00012     0.90    0.89389     1.02012   1.01741   0.00067   0.99985    17.138
   0.00028     0.85    0.84219     1.02860   1.01259   0.00257   0.99988     9.965
   0.00049     0.80    0.78999     1.03004   1.02226   0.00627   0.99930    10.398
   0.00078     0.75    0.73914     1.03613   1.02565   0.01384   1.00065     6.314
   0.00114     0.70    0.68944     1.04407   1.01103   0.02027   0.99874     5.271
   0.00159     0.65    0.63989     1.05021   1.01742   0.03630   0.99963     5.169
   0.00212     0.60    0.59161     1.05839   1.00631   0.05119   1.00189     3.946
   0.00275     0.55    0.54323     1.06468   1.01015   0.07707   1.00328     3.863
   0.00350     0.50    0.49626     1.07343   0.99563   0.09817   0.99323     3.273
   0.00440     0.45    0.45169     1.08686   0.98202   0.13367   1.00092     2.817
   0.00546     0.40    0.40700     1.09907   0.96683   0.17265   0.99891     2.296
   0.00673     0.35    0.36321     1.11297   0.95445   0.22835   0.99511     2.044
   0.00827     0.30    0.31944     1.12723   0.93809   0.29037   1.01140     1.729
   0.01019     0.25    0.27606     1.14360   0.91811   0.36802   0.98793     1.633
   0.01265     0.20    0.23302     1.16357   0.89345   0.46289   0.97428     1.290
   0.01596     0.15    0.19104     1.19216   0.85877   0.59019   0.95739     1.085
   0.02084     0.10    0.14575     1.22434   0.82311   0.77745   0.95791     0.864
   0.02959     0.05    0.09747     1.28062   0.76762   1.12227   0.97281     0.686
