# system = HF-gto
# path = examples/gwfn/HF/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 0.00248
# optimized DTVMC = 0.00253
# kinetic energy = 99.19072 +/- 0.18931
# kinetic energy KEI = 100.04903 +/- 0.10839
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00002     0.95    0.94824     1.01411   1.02698   0.00008   0.99996    28.587
   0.00009     0.90    0.89726     1.02164   1.02193   0.00089   1.00008    17.386
   0.00020     0.85    0.84622     1.02364   1.03316   0.00288   0.99986    11.126
   0.00036     0.80    0.79561     1.02674   1.05363   0.00855   0.99985    15.390
   0.00056     0.75    0.74566     1.03123   1.04420   0.01335   0.99852     8.295
   0.00082     0.70    0.69665     1.03759   1.04981   0.02540   1.00248     7.027
   0.00114     0.65    0.64858     1.04521   1.04057   0.03741   0.99901     5.822
   0.00153     0.60    0.59995     1.04963   1.04884   0.05842   0.99930     5.276
   0.00198     0.55    0.55360     1.05930   1.03535   0.08152   1.00350     4.647
   0.00253     0.50    0.50851     1.07094   1.02217   0.10845   0.99931     3.590
   0.00317     0.45    0.46347     1.08166   1.01129   0.14416   1.00223     3.261
   0.00393     0.40    0.41878     1.09272   0.99466   0.18277   1.04112     2.523
   0.00485     0.35    0.37452     1.10479   0.99250   0.25234   0.99127     2.467
   0.00597     0.30    0.33163     1.12070   0.96294   0.30058   0.99542     2.011
   0.00735     0.25    0.28925     1.13949   0.94306   0.38691   0.97089     1.700
   0.00912     0.20    0.24520     1.15769   0.91887   0.48315   1.00449     1.457
   0.01151     0.15    0.20133     1.18267   0.88741   0.61364   1.03086     1.201
   0.01503     0.10    0.15362     1.21014   0.84900   0.77967   0.94856     0.943
   0.02134     0.05    0.10425     1.26647   0.78875   1.11065   0.89851     0.715
