# system = He-gto
# path = examples/gwfn/He/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 0.09096
# optimized DTVMC = 0.09495
# kinetic energy = 2.86274 +/- 0.00029
# kinetic energy KEI = 2.87717 +/- 0.00471
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00082     0.95    0.94571     1.00659   0.98931   0.00000   1.00000     0.026
   0.00330     0.90    0.89145     1.00662   0.98947   0.00012   1.00011     0.016
   0.00746     0.85    0.83822     1.01259   0.97817   0.00021   1.00020     0.018
   0.01340     0.80    0.78649     1.02242   0.95965   0.00022   1.00026     0.022
   0.02119     0.75    0.73504     1.02926   0.94616   0.00021   1.00010     0.011
   0.03099     0.70    0.68476     1.03755   0.92983   0.00013   0.99991     0.009
   0.04298     0.65    0.63602     1.04810   0.90952  -0.00036   0.99985     0.007
   0.05740     0.60    0.58919     1.06158   0.88832   0.00009   0.99978     0.003
   0.07458     0.55    0.54264     1.07331   0.86917   0.00052   0.99929     0.001
   0.09495     0.50    0.49723     1.08614   0.84677  -0.00145   0.99941     0.006
   0.11911     0.45    0.45356     1.10182   0.82303  -0.00016   1.00209     0.006
   0.14784     0.40    0.41078     1.11855   0.79762  -0.00242   0.99584    -0.001
   0.18231     0.35    0.36855     1.13620   0.77350  -0.00125   1.00067     0.004
   0.22420     0.30    0.32756     1.15724   0.74782   0.00187   0.99832    -0.008
   0.27620     0.25    0.28713     1.18139   0.72069   0.00913   0.99991     0.000
   0.34279     0.20    0.24692     1.20995   0.68936   0.01619   1.00230     0.001
   0.43252     0.15    0.20426     1.23958   0.65623   0.01847   0.98768    -0.001
   0.56470     0.10    0.16175     1.28508   0.61821   0.05654   0.98262     0.003
   0.80179     0.05    0.11229     1.34925   0.57155   0.14790   1.16378     0.019
