# system = He-sto
# path = examples/stowfn/He/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 9.09599e-02
# optimized DTVMC = 9.54852e-02
# kinetic energy = 2.85517 +/- 0.00029
# kinetic energy KEI = 2.85506 +/- 0.00461
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.25305e-04     0.95    0.94549     1.00409   0.99496  -0.00001   0.99999     0.036
 3.31428e-03     0.90    0.89128     1.00649   0.98871   0.00002   1.00002     0.016
 7.50677e-03     0.85    0.83808     1.01317   0.97711   0.00036   1.00034     0.016
 1.34715e-02     0.80    0.78507     1.01703   0.96786  -0.00015   0.99973     0.012
 2.13100e-02     0.75    0.73436     1.02802   0.94665  -0.00014   1.00001     0.012
 3.11623e-02     0.70    0.68448     1.03811   0.92974   0.00070   1.00089     0.010
 4.32158e-02     0.65    0.63549     1.04801   0.91075  -0.00037   0.99900    -0.004
 5.77181e-02     0.60    0.58795     1.05960   0.89034  -0.00016   1.00023     0.002
 7.49962e-02     0.55    0.54193     1.07298   0.87028   0.00073   0.99908    -0.003
 9.54852e-02     0.50    0.49646     1.08578   0.84650  -0.00176   0.99828    -0.008
 1.19772e-01     0.45    0.45321     1.10257   0.82466   0.00192   1.00034    -0.002
 1.48668e-01     0.40    0.40915     1.11631   0.79961  -0.00403   0.99325    -0.006
 1.83327e-01     0.35    0.36896     1.13885   0.77406   0.00479   1.00281    -0.000
 2.25459e-01     0.30    0.32771     1.15931   0.74630   0.00510   1.00145    -0.002
 2.77744e-01     0.25    0.28594     1.18021   0.71874   0.00126   1.00696     0.006
 3.44713e-01     0.20    0.24510     1.20706   0.69180   0.01446   1.01227     0.002
 4.34939e-01     0.15    0.20448     1.24200   0.65655   0.02873   1.07245     0.008
 5.67858e-01     0.10    0.15984     1.28111   0.61914   0.04543   0.94693     0.001
 8.06272e-01     0.05    0.11109     1.34670   0.57168   0.13593   0.89109     0.016
