# system = Kr-gto
# path = examples/gwfn/Kr/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 36
# approximate DTVMC = 0.00009
# optimized DTVMC = 0.00010
# kinetic energy = 2753.33278 +/- 19.46925
# kinetic energy KEI = 2779.55205 +/- 1.99339
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00000     0.95    0.94745     1.02588   1.06740   0.00010   0.99988    31.722
   0.00000     0.90    0.89725     1.04912   1.06738   0.00255   1.00051    47.579
   0.00001     0.85    0.84630     1.05189   1.08374   0.00742   0.99991    25.561
   0.00001     0.80    0.79491     1.05081   1.10682   0.01649   0.99908    21.539
   0.00002     0.75    0.74624     1.06165   1.10412   0.03110   1.00091    15.300
   0.00003     0.70    0.69506     1.05980   1.12864   0.05180   0.99866    12.000
   0.00004     0.65    0.64602     1.06519   1.13768   0.08183   0.99998    10.494
   0.00006     0.60    0.59754     1.07094   1.14734   0.12116   0.99690     7.925
   0.00008     0.55    0.54900     1.07549   1.14714   0.16557   0.99698     6.078
   0.00010     0.50    0.50145     1.08183   1.15421   0.22886   0.99276     5.561
   0.00012     0.45    0.45531     1.09091   1.14298   0.29474   0.99766     4.615
   0.00015     0.40    0.40929     1.09971   1.13696   0.37932   0.98917     3.787
   0.00018     0.35    0.36416     1.11039   1.12691   0.48465   0.99183     3.265
   0.00023     0.30    0.31924     1.12192   1.10733   0.59623   0.99306     2.618
   0.00028     0.25    0.27420     1.13429   1.08765   0.73644   1.16025     2.121
   0.00035     0.20    0.22945     1.14975   1.05901   0.89976   1.04197     1.806
   0.00044     0.15    0.18494     1.17076   1.02338   1.10911   0.97157     1.402
   0.00057     0.10    0.13822     1.19629   0.97452   1.36892   1.07316     1.095
   0.00081     0.05    0.08894     1.24231   0.89634   1.76160   0.90786     0.742
