# system = Kr-sto
# path = examples/stowfn/Kr/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 36
# approximate DTVMC = 9.04121e-05
# optimized DTVMC = 9.73366e-05
# kinetic energy = 2742.96606 +/- 10.81548
# kinetic energy KEI = 2741.07037 +/- 1.99781
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.41307e-07     0.95    0.94850     1.05178   1.02922   0.00033   1.00008    85.091
 3.37854e-06     0.90    0.89671     1.04872   1.05668   0.00210   0.99991    43.211
 7.65232e-06     0.85    0.84474     1.04622   1.09934   0.00763   0.99964    28.702
 1.37327e-05     0.80    0.79405     1.05140   1.10477   0.01607   0.99866    17.673
 2.17232e-05     0.75    0.74501     1.06144   1.10176   0.03049   0.99975    17.907
 3.17665e-05     0.70    0.69295     1.05724   1.14080   0.05526   1.00051    12.248
 4.40537e-05     0.65    0.64495     1.06687   1.13398   0.08173   1.00006     9.376
 5.88372e-05     0.60    0.59540     1.06989   1.15306   0.12474   0.99924     8.025
 7.64503e-05     0.55    0.54660     1.07422   1.15573   0.17179   0.99839     6.622
 9.73366e-05     0.50    0.49852     1.07966   1.15532   0.23045   0.99485     5.634
 1.22095e-04     0.45    0.45295     1.09048   1.14213   0.29650   0.98876     4.627
 1.51551e-04     0.40    0.40592     1.09712   1.14416   0.38805   0.99009     3.690
 1.86882e-04     0.35    0.36074     1.10787   1.13267   0.49399   0.98017     3.232
 2.29831e-04     0.30    0.31643     1.12083   1.11103   0.60560   0.99042     2.637
 2.83129e-04     0.25    0.27172     1.13391   1.09107   0.75119   0.98800     2.142
 3.51397e-04     0.20    0.22720     1.14974   1.06073   0.91500   0.99943     1.784
 4.43372e-04     0.15    0.18214     1.16894   1.02924   1.13453   1.54313     1.424
 5.78869e-04     0.10    0.13682     1.19782   0.97144   1.37261   1.25285     1.050
 8.21905e-04     0.05    0.08687     1.24020   0.89558   1.75975   0.94439     0.749
