# system = Li+-gto
# path = examples/gwfn/Li⁺/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 0.03468
# optimized DTVMC = 0.03649
# kinetic energy = 7.23943 +/- 0.00046
# kinetic energy KEI = 7.26944 +/- 0.01092
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00032     0.95    0.94629     1.00313   0.99435  -0.00003   0.99997     0.012
   0.00127     0.90    0.89285     1.00535   0.98814  -0.00022   0.99977     0.007
   0.00287     0.85    0.84004     1.00971   0.97949  -0.00044   0.99960     0.011
   0.00515     0.80    0.78855     1.01796   0.96771   0.00060   1.00062     0.010
   0.00814     0.75    0.73763     1.02499   0.95160  -0.00007   0.99996    -0.003
   0.01191     0.70    0.68833     1.03515   0.93648   0.00121   1.00115     0.006
   0.01651     0.65    0.63895     1.04222   0.91902  -0.00118   0.99841     0.003
   0.02206     0.60    0.59283     1.05679   0.89976   0.00244   1.00202     0.001
   0.02866     0.55    0.54554     1.06567   0.88014  -0.00071   0.99858    -0.013
   0.03649     0.50    0.50098     1.08007   0.85949   0.00209   1.00177    -0.000
   0.04577     0.45    0.45629     1.09273   0.83821   0.00036   0.99916     0.003
   0.05681     0.40    0.41347     1.10900   0.81395   0.00003   0.99672     0.002
   0.07005     0.35    0.37122     1.12630   0.79211   0.00437   1.00039     0.009
   0.08615     0.30    0.32880     1.14371   0.76779   0.00651   1.00890     0.017
   0.10613     0.25    0.28784     1.16630   0.74216   0.01432   1.00044     0.017
   0.13172     0.20    0.24747     1.19413   0.71425   0.03350   1.00538     0.011
   0.16620     0.15    0.20454     1.22268   0.68204   0.04424   1.00008     0.020
   0.21699     0.10    0.16159     1.26633   0.64808   0.10672   0.94801     0.016
   0.30810     0.05    0.11150     1.32710   0.60291   0.22727   0.89557     0.022
