# system = N-gto
# path = examples/gwfn/N/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 0.00456
# optimized DTVMC = 0.00487
# kinetic energy = 54.33035 +/- 0.09119
# kinetic energy KEI = 53.92701 +/- 0.06540
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00004     0.95    0.94666     1.01100   1.02575   0.00015   1.00002    44.437
   0.00017     0.90    0.89448     1.02185   1.00554   0.00067   0.99988    18.382
   0.00038     0.85    0.84193     1.02288   1.01248   0.00215   0.99940    14.092
   0.00069     0.80    0.78997     1.02595   1.01947   0.00560   1.00012     6.620
   0.00109     0.75    0.73918     1.03231   1.01406   0.01075   0.99964     6.437
   0.00159     0.70    0.68890     1.03815   1.00864   0.01794   1.00022     5.297
   0.00220     0.65    0.63986     1.04606   1.00733   0.02957   0.99855     4.789
   0.00294     0.60    0.59144     1.05380   1.00140   0.04410   1.00021     4.179
   0.00383     0.55    0.54567     1.06701   0.98738   0.06486   1.00229     3.429
   0.00487     0.50    0.49936     1.07702   0.97440   0.08600   1.00274     2.791
   0.00611     0.45    0.45364     1.08733   0.95711   0.10793   1.00123     2.270
   0.00758     0.40    0.40917     1.09989   0.94494   0.14492   0.99923     2.051
   0.00935     0.35    0.36508     1.11299   0.92643   0.18404   0.99779     1.770
   0.01150     0.30    0.32285     1.13080   0.90448   0.23273   1.01122     1.582
   0.01417     0.25    0.28045     1.14963   0.88450   0.30077   0.99749     1.383
   0.01758     0.20    0.23767     1.17062   0.86195   0.38963   0.96917     1.170
   0.02219     0.15    0.19534     1.19907   0.82771   0.49779   1.08462     0.985
   0.02897     0.10    0.15025     1.23324   0.79616   0.68281   0.98804     0.815
   0.04113     0.05    0.09984     1.28466   0.74117   0.95778   0.93559     0.604
