# system = N-pp
# path = examples/ppotential_HF/N/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 5
# approximate DTVMC = 3.06668e-02
# optimized DTVMC = 4.79936e-02
# kinetic energy = 6.75308 +/- 0.04692
# kinetic energy KEI = 6.76103 +/- 0.00470
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.14822e-04     0.95    0.94579     1.10093   1.20971   0.00156   1.00009   297.747
 1.66585e-03     0.90    0.89468     1.13307   1.16636   0.00799   0.99985   105.632
 3.77312e-03     0.85    0.84210     1.13323   1.20534   0.02328   0.99965    53.459
 6.77119e-03     0.80    0.79093     1.14072   1.23149   0.05011   1.00125    36.896
 1.07110e-02     0.75    0.74166     1.15376   1.21245   0.08373   0.99853    23.898
 1.56631e-02     0.70    0.68966     1.15182   1.24972   0.13865   1.00037    17.668
 2.17215e-02     0.65    0.64099     1.16153   1.22885   0.19513   0.99696    13.430
 2.90108e-02     0.60    0.59329     1.17203   1.18973   0.25191   0.99548    10.207
 3.76953e-02     0.55    0.54616     1.18227   1.15209   0.31638   1.00137     8.249
 4.79936e-02     0.50    0.50076     1.19578   1.11220   0.38653   0.99986     6.287
 6.02011e-02     0.45    0.45628     1.21038   1.05943   0.44823   0.99774     4.972
 7.47251e-02     0.40    0.41392     1.22961   1.00801   0.51806   0.99552     4.105
 9.21456e-02     0.35    0.37018     1.24488   0.95780   0.58252   0.99806     3.264
 1.13322e-01     0.30    0.32754     1.26360   0.90717   0.65140   1.00714     2.616
 1.39602e-01     0.25    0.28641     1.28808   0.85092   0.71338   0.97737     2.042
 1.73263e-01     0.20    0.24461     1.31472   0.79546   0.77985   1.00711     1.603
 2.18613e-01     0.15    0.20183     1.34627   0.74200   0.86817   0.95765     1.285
 2.85422e-01     0.10    0.15702     1.38741   0.67683   0.94274   0.97192     0.918
 4.05256e-01     0.05    0.10432     1.44037   0.60704   1.07475   0.97320     0.580
