# system = N-sto
# path = examples/stowfn/N/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 4.56061e-03
# optimized DTVMC = 4.81232e-03
# kinetic energy = 54.31019 +/- 0.15242
# kinetic energy KEI = 54.04570 +/- 0.06654
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.15942e-05     0.95    0.94719     1.01480   1.02766   0.00027   1.00014    43.073
 1.67035e-04     0.90    0.89512     1.02176   1.00437   0.00086   1.00018    14.824
 3.78331e-04     0.85    0.84321     1.02493   1.00987   0.00246   1.00019     8.494
 6.78947e-04     0.80    0.79101     1.02479   1.03006   0.00691   1.00049    10.310
 1.07400e-03     0.75    0.74052     1.03135   1.01274   0.00982   0.99896     5.676
 1.57054e-03     0.70    0.69184     1.04204   0.99930   0.01707   1.00033     4.734
 2.17801e-03     0.65    0.64227     1.04707   1.00265   0.02838   0.99919     4.172
 2.90891e-03     0.60    0.59482     1.05686   0.99364   0.04337   1.00048     3.577
 3.77970e-03     0.55    0.54836     1.06752   0.98216   0.06025   0.99961     2.861
 4.81232e-03     0.50    0.50100     1.07440   0.97375   0.08042   0.99720     2.840
 6.03636e-03     0.45    0.45643     1.08728   0.95860   0.10916   1.00013     2.461
 7.49268e-03     0.40    0.41222     1.10017   0.94470   0.14187   0.99183     1.955
 9.23944e-03     0.35    0.36786     1.11249   0.92625   0.17826   1.00830     1.757
 1.13628e-02     0.30    0.32550     1.12991   0.91240   0.24315   0.99708     1.636
 1.39979e-02     0.25    0.28379     1.15042   0.88669   0.30600   0.99437     1.391
 1.73731e-02     0.20    0.24016     1.16952   0.86295   0.38458   1.01803     1.159
 2.19203e-02     0.15    0.19676     1.19539   0.83481   0.50076   1.00005     1.021
 2.86193e-02     0.10    0.15333     1.23480   0.79465   0.67386   1.03617     0.839
 4.06350e-02     0.05    0.10301     1.28856   0.73958   0.95215   0.93103     0.613
