# system = NH3-gto
# path = examples/gwfn/NH3/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 0.00441
# optimized DTVMC = 0.00468
# kinetic energy = 56.06448 +/- 0.06063
# kinetic energy KEI = 55.92626 +/- 0.06598
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00004     0.95    0.94741     1.02120   0.97884   0.00008   1.00007     1.340
   0.00016     0.90    0.89422     1.01527   1.02670   0.00079   0.99990    19.053
   0.00037     0.85    0.84222     1.02068   1.01237   0.00206   0.99984     9.576
   0.00066     0.80    0.79054     1.02467   1.01984   0.00526   0.99980     7.924
   0.00104     0.75    0.73915     1.02802   1.02385   0.01072   0.99932     7.284
   0.00153     0.70    0.68971     1.03680   1.01842   0.01974   0.99983     6.147
   0.00212     0.65    0.64142     1.04672   1.00685   0.03098   1.00166     4.666
   0.00283     0.60    0.59263     1.05294   1.00225   0.04356   0.99899     3.644
   0.00368     0.55    0.54491     1.06071   0.99097   0.05897   0.99557     3.422
   0.00468     0.50    0.49800     1.06928   0.98399   0.08276   0.99613     3.001
   0.00587     0.45    0.45239     1.07997   0.97601   0.11569   1.00027     2.540
   0.00729     0.40    0.40966     1.09660   0.95031   0.14438   1.00871     2.086
   0.00899     0.35    0.36405     1.10613   0.93848   0.18546   1.00893     1.817
   0.01106     0.30    0.32178     1.12376   0.91760   0.23656   0.99190     1.522
   0.01362     0.25    0.27849     1.14032   0.90339   0.31424   1.01526     1.350
   0.01690     0.20    0.23430     1.15754   0.88077   0.39583   0.98312     1.198
   0.02133     0.15    0.19227     1.18603   0.85477   0.53681   1.26801     1.030
   0.02785     0.10    0.14790     1.22119   0.81402   0.69978   0.92687     0.816
   0.03954     0.05    0.09793     1.27226   0.76117   0.99881   0.95951     0.616
