# system = Ne-gto
# path = examples/gwfn/Ne/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 0.00194
# optimized DTVMC = 0.00204
# kinetic energy = 128.43092 +/- 0.27807
# kinetic energy KEI = 128.30051 +/- 0.13950
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00002     0.95    0.94733     1.01999   1.02124   0.00011   0.99999    33.259
   0.00007     0.90    0.89496     1.02261   1.04125   0.00124   0.99998    20.404
   0.00016     0.85    0.84407     1.03310   1.03695   0.00452   1.00074    19.654
   0.00029     0.80    0.79290     1.03684   1.03574   0.00874   0.99983    12.304
   0.00046     0.75    0.74156     1.03819   1.04739   0.01629   0.99868     8.507
   0.00067     0.70    0.69274     1.04778   1.03971   0.02870   1.00046     7.907
   0.00093     0.65    0.64214     1.04918   1.05137   0.04502   0.99836     6.264
   0.00124     0.60    0.59519     1.06048   1.04828   0.07010   1.00095     5.375
   0.00161     0.55    0.54796     1.06902   1.02664   0.08792   0.99859     4.498
   0.00204     0.50    0.50246     1.08069   1.02606   0.12945   1.00345     3.791
   0.00256     0.45    0.45591     1.08863   1.01970   0.16985   0.99790     3.345
   0.00318     0.40    0.41145     1.10100   1.00316   0.21899   1.00139     2.777
   0.00393     0.35    0.36565     1.11004   0.99297   0.27793   0.99063     2.450
   0.00483     0.30    0.32287     1.12651   0.97549   0.35572   1.01206     2.088
   0.00595     0.25    0.27963     1.14325   0.95536   0.44827   0.98593     1.753
   0.00738     0.20    0.23750     1.16572   0.92481   0.55681   0.97706     1.513
   0.00931     0.15    0.19345     1.18943   0.89122   0.68967   1.02005     1.257
   0.01216     0.10    0.14855     1.22339   0.84854   0.88782   0.96031     0.983
   0.01727     0.05    0.09862     1.27512   0.78669   1.20831   0.90699     0.730
