# system = Ne-pp
# path = examples/ppotential_HF/Ne/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 8
# approximate DTVMC = 8.06431e-03
# optimized DTVMC = 1.09501e-02
# kinetic energy = 27.62514 +/- 0.16293
# kinetic energy KEI = 27.84155 +/- 0.01545
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 9.46449e-05     0.95    0.94829     1.11503   1.09608   0.00093   1.00000   232.742
 3.80077e-04     0.90    0.89626     1.11142   1.16425   0.00639   0.99988    86.784
 8.60867e-04     0.85    0.84469     1.11327   1.20569   0.01948   0.99992    48.964
 1.54490e-03     0.80    0.79355     1.11637   1.27712   0.04713   0.99957    33.249
 2.44381e-03     0.75    0.74412     1.12578   1.27864   0.08215   1.00298    24.658
 3.57365e-03     0.70    0.69546     1.13511   1.27354   0.12745   1.00020    17.663
 4.95593e-03     0.65    0.64627     1.14017   1.28675   0.19139   1.00024    13.360
 6.61903e-03     0.60    0.59767     1.14586   1.28785   0.26795   1.00590    10.981
 8.60047e-03     0.55    0.55260     1.16076   1.25431   0.34633   0.99628     8.682
 1.09501e-02     0.50    0.50478     1.16616   1.24612   0.44914   0.99861     7.037
 1.37353e-02     0.45    0.45986     1.17869   1.21104   0.54862   1.01201     5.600
 1.70491e-02     0.40    0.41531     1.19147   1.17438   0.66182   0.99335     4.761
 2.10237e-02     0.35    0.37136     1.20564   1.12449   0.76731   0.99465     3.922
 2.58554e-02     0.30    0.32791     1.22168   1.07904   0.89137   1.02844     3.174
 3.18513e-02     0.25    0.28470     1.24000   1.02381   1.01209   0.98545     2.554
 3.95312e-02     0.20    0.24226     1.26384   0.96508   1.14856   0.97509     2.064
 4.98782e-02     0.15    0.19900     1.29246   0.89871   1.29325   1.00436     1.654
 6.51213e-02     0.10    0.15370     1.32965   0.82076   1.44323   1.02371     1.213
 9.24623e-02     0.05    0.10336     1.38768   0.72328   1.65318   0.83787     0.864
