# system = Ne-sto
# path = examples/stowfn/Ne/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 1.93853e-03
# optimized DTVMC = 2.10225e-03
# kinetic energy = 127.80984 +/- 0.18437
# kinetic energy KEI = 128.47222 +/- 0.14584
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.81703e-05     0.95    0.94695     1.02436   1.03268   0.00025   1.00002    59.966
 7.29689e-05     0.90    0.89392     1.02418   1.04826   0.00170   1.00015    49.789
 1.65273e-04     0.85    0.84206     1.03150   1.03107   0.00380   1.00015    12.064
 2.96597e-04     0.80    0.78997     1.03380   1.04972   0.00988   0.99981    13.872
 4.69173e-04     0.75    0.73842     1.03704   1.05880   0.01870   0.99965     9.550
 6.86086e-04     0.70    0.68887     1.04593   1.04869   0.03034   0.99978     7.735
 9.51460e-04     0.65    0.63962     1.05325   1.05210   0.04950   1.00009     7.075
 1.27075e-03     0.60    0.59099     1.06055   1.05012   0.07243   1.08391     5.447
 1.65116e-03     0.55    0.54322     1.06861   1.03677   0.09651   1.00147     4.432
 2.10225e-03     0.50    0.49636     1.07766   1.02595   0.12913   1.00077     3.723
 2.63697e-03     0.45    0.45030     1.08756   1.01974   0.17332   0.99419     3.158
 3.27316e-03     0.40    0.40542     1.09943   1.00637   0.22438   0.99732     2.818
 4.03623e-03     0.35    0.36126     1.11257   0.99073   0.28635   0.99075     2.393
 4.96383e-03     0.30    0.31696     1.12562   0.97717   0.36424   0.98998     2.032
 6.11496e-03     0.25    0.27528     1.14598   0.95336   0.46179   1.00008     1.769
 7.58938e-03     0.20    0.23317     1.16826   0.92090   0.56759   0.98549     1.515
 9.57583e-03     0.15    0.18840     1.18947   0.88930   0.70011   0.99264     1.207
 1.25023e-02     0.10    0.14455     1.22524   0.84970   0.92472   0.98041     1.014
 1.77513e-02     0.05    0.09469     1.27468   0.78502   1.22696   1.27112     0.701
